"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",955,1091,877,1052,994,974,898,878,857,856,856,813,899,1006,1027,1006,906,845,742,644,664,624,605,742,742,742,703,742,800,742,683
1602,"1111602","Caminha",374,427,343,412,389,381,267,261,255,176,176,167,185,207,211,207,128,120,105,30,31,29,28,34,34,34,32,34,37,34,32
1603,"1111603","Melgaço",118,134,108,130,122,120,84,82,80,55,55,52,58,65,66,65,64,60,53,52,54,51,49,60,60,60,57,60,65,60,55
1604,"1111604","Monção",425,485,390,468,442,433,255,249,243,109,109,103,114,128,130,128,110,103,90,74,76,71,69,85,85,85,80,85,91,85,78
1605,"1111605","Paredes de Coura",249,285,229,275,260,254,235,230,224,225,225,214,236,264,270,264,326,304,267,325,334,315,305,374,374,374,354,374,403,374,344
1606,"1111606","Ponte da Barca",277,316,254,305,288,282,252,246,240,232,232,221,244,273,279,273,221,206,181,131,135,127,123,151,151,151,143,151,163,151,139
1607,"1111607","Ponte de Lima",1314,1502,1207,1448,1368,1341,1161,1134,1108,1036,1036,984,1088,1218,1243,1218,1071,998,876,734,756,711,689,845,845,845,800,845,911,845,778
1608,"1111608","Valença",146,167,134,161,152,149,115,112,110,89,89,84,93,104,106,104,110,103,90,96,99,93,90,110,110,110,104,110,119,110,102
1609,"1111609","Viana do Castelo",1971,2252,1810,2172,2051,2011,1414,1382,1350,939,939,892,986,1103,1127,1103,947,882,775,623,642,604,585,717,717,717,679,717,774,717,660
1610,"1111610","Vila Nova de Cerveira",229,261,210,252,238,233,215,210,205,205,205,194,215,241,246,241,181,168,148,90,93,88,85,104,104,104,99,104,112,104,96
301,"1120301","Amares",282,322,259,311,294,288,157,153,150,49,49,46,51,57,58,57,84,78,68,94,96,91,88,108,108,108,102,108,116,108,99
302,"1120302","Barcelos",6526,7458,5994,7192,6793,6659,7414,7245,7077,8253,8253,7840,8666,9697,9904,9697,9426,8784,7712,7423,7648,7198,6973,8548,8548,8548,8098,8548,9223,8548,7873
303,"1120303","Braga",1410,1611,1295,1554,1468,1439,1574,1538,1502,1730,1730,1644,1817,2033,2076,2033,1545,1440,1264,794,818,770,746,914,914,914,866,914,987,914,842
306,"1120306","Esposende",1533,1752,1408,1689,1596,1564,1466,1432,1399,1419,1419,1348,1490,1667,1703,1667,1403,1307,1148,891,918,864,837,1026,1026,1026,972,1026,1107,1026,945
310,"1120310","Terras de Bouro",271,310,249,299,282,277,164,161,157,72,72,69,76,85,87,85,93,87,76,84,87,82,79,97,97,97,92,97,104,97,89
313,"1120313","Vila Verde",1426,1630,1310,1572,1484,1455,1033,1009,986,697,697,662,732,819,837,819,682,635,558,425,438,412,399,489,489,489,463,489,528,489,450
307,"1130307","Fafe",923,1055,848,1018,961,942,475,465,454,88,88,83,92,103,105,103,137,128,112,145,149,140,136,167,167,167,158,167,180,167,154
308,"1130308","Guimarães",1836,2098,1686,2023,1911,1873,1412,1380,1348,1054,1054,1002,1107,1239,1265,1239,1011,942,827,607,625,588,570,699,699,699,662,699,754,699,644
309,"1130309","Póvoa de Lanhoso",529,605,486,583,551,540,327,320,312,153,153,146,161,180,184,180,188,175,154,161,166,156,151,185,185,185,175,185,200,185,170
1314,"1131314","Santo Tirso",1615,1845,1483,1779,1681,1648,1078,1053,1029,617,617,586,648,725,741,725,699,652,572,545,562,528,512,628,628,628,595,628,677,628,578
1318,"1131318","Trofa",0,0,0,0,0,0,563,551,538,1061,1061,1008,1114,1247,1273,1247,1270,1183,1039,1057,1089,1025,993,1217,1217,1217,1153,1217,1313,1217,1121
311,"1130311","Vieira do Minho",420,480,386,463,437,429,269,263,257,139,139,132,146,163,167,163,172,161,141,149,154,144,140,172,172,172,163,172,185,172,158
312,"1130312","Vila Nova de Famalicão",2786,3184,2559,3070,2900,2843,2755,2692,2630,2751,2751,2614,2889,3233,3302,3233,3081,2871,2521,2366,2438,2295,2223,2725,2725,2725,2582,2725,2940,2725,2510
314,"1130314","Vizela",0,0,0,0,0,0,33,32,31,62,62,59,65,73,74,73,61,57,50,38,40,37,36,44,44,44,42,44,48,44,41
107,"1140107","Espinho",29.7,35,28,34.2,33.4,33,13,12,12,5,5,4,5,6,6,6,33,31,27,53,55,52,50,61,61,61,58,61,66,61,56
1304,"1141304","Gondomar",169,193,155,186,176,172,118,116,113,75,75,72,79,88,90,88,74,69,61,47,48,45,44,54,54,54,51,54,58,54,50
1306,"1141306","Maia",1009,1154,927,1112,1050,1030,906,886,865,824,824,783,865,968,988,968,1038,968,850,913,941,886,858,1052,1052,1052,996,1052,1135,1052,969
