"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",56348,52095.3,52183.7,52983.4,53671.6,52994.7,37483.3,38041.4,39413.8,20447.2,20471,19621.6,18607.6,17339.4,17014.9,17092.3,11790.2,12446.5,10913.9,4490.9,4537.8,4516,4703.3,5178.3,5186.9,5136.1,4818.6,4934.5,5025.5,4787.9,4627
1602,"1111602","Caminha",48580.3,44135.2,44614.1,45302.8,45792,45372,34829.1,35243.5,36822.3,23441.6,23663,22617.2,21501.8,19892.3,18893.6,19098.7,11966,12592.5,11418.3,2838.1,2870.7,2863.8,2711.7,2653,2622.2,2629.4,2609.8,2649.2,2778.5,2712.1,2689.3
1603,"1111603","Melgaço",14515.4,13411.9,13431.7,13669.8,13970.2,13764.5,7757.6,7976.5,8188.5,947.3,938.2,884,881.3,832.7,869.7,874.6,644.2,705,623.9,385.6,390.8,393.8,401.2,436.8,441,440.6,418.2,427,435.2,417.2,410
1604,"1111604","Monção",49153.3,45245.5,45338.3,46186,47385.9,46684.6,28322.8,29076.3,29951.5,7881.5,7927.4,7604.7,7370.1,6885,6776.9,6796.6,4266.6,4577.6,4144.2,1208.4,1213.1,1209.7,1200.9,1303.1,1258.3,1252.1,1195.9,1248.9,1203.8,1136.3,1124.4
1605,"1111605","Paredes de Coura",76693.8,69495.1,70320.3,71397.4,72310.8,71594.9,51658.1,52367.8,54671.8,29383.4,29699.4,28411,27115.8,25122.5,24060.8,24263.5,20245.3,21333.3,19404.2,14658.1,14779.7,14723.4,13897.1,13762,13566,13470.4,13325.5,13675.5,14135.1,13760.8,13676.2
1606,"1111606","Ponte da Barca",4964.4,4898.5,4756.2,4844.1,4888.1,4801,4500.9,4552.9,4658.6,4296.2,4315.5,4136.5,3957.2,3697.1,3622,3665.6,3911.7,4100,3678.1,3932.5,3996.1,3940.4,3792.1,3848.3,3785.6,3750.4,3682.9,3774.4,3820.1,3683.7,3643.2
1607,"1111607","Ponte de Lima",225071,204807.5,206877,210069.7,212491.6,210602.2,168921.2,171027.2,178507.6,125011.3,126136.1,120666,114906.4,106420.3,101610.3,102471.2,82783.3,87117.1,79122.2,56893.4,57454.7,57262,53637.8,52276.2,51767.8,51323.6,51019.4,52414.8,55039.4,53844.9,53579.9
1608,"1111608","Valença",32572,29595.9,29930.7,30372.3,30717.7,30424.1,19109.4,19343.4,20173.8,6167.2,6188.5,5951.2,5625.6,5212.4,5000.7,5032.4,5123.1,5364.1,4847.9,5050,5077.7,5072.6,4762.9,4686.3,4610.5,4589.8,4552.5,4661.3,4850,4744.3,4706.9
1609,"1111609","Viana do Castelo",205457.7,188366.6,189643.8,192754,194426.3,192678.6,155162.7,156918.6,163709.8,116508.3,117077.3,112086.4,106167.1,98294.8,93567.8,94177.3,72620.2,76210.5,68867.1,43609,44021.9,43866,41237.4,40343.4,39880.8,39528,39265.6,40302.3,42334,41323.1,40972
1610,"1111610","Vila Nova de Cerveira",45865.4,41711.3,42122.1,42810.6,43331.5,42919.8,31328,31751,33139.8,18510.2,18685.1,17871.6,17083.9,15847.6,15101.5,15279.4,12234.5,12877.2,11705.5,8409.7,8495.8,8464.6,7891.1,7645.4,7580.5,7518.6,7484.7,7696.7,8129.6,7963.3,7941.3
301,"1120301","Amares",18682.4,17466,17374.5,17712.8,18061.5,17845.3,15796.4,16162.6,16709.4,14086,14265.3,13641.5,13115.3,12158.4,11721,11835.6,10029.9,10640.4,9719.8,7934.6,8020.7,7987.1,7463.7,7278.8,7233.7,7178.9,7101.6,7326.1,7737,7564.5,7586.1
302,"1120302","Barcelos",610941.6,561386.5,564155,574116.4,578536.1,574354.7,721360.6,729523.1,761566.4,923032.2,931676.9,891213.8,849521.4,787164.7,748891.8,756756.7,731879.6,769489.8,699106.9,689996,696999.7,693638.9,647481.7,628276.6,622117.6,616595,613543.1,631050,665681.9,651278.6,648673.1
303,"1120303","Braga",124302.1,114431.2,114889.8,116836.1,117851,116798.7,106688.5,107915.4,112440.1,97946,98727.1,94497,90097.2,83671.2,80415.1,81100.9,74636.6,78432.7,71005.9,65491.1,66167.1,65911.2,61722.6,60131.4,59586,59104.5,58704.8,60333.9,63532.4,62157.1,61890
306,"1120306","Esposende",140544.5,128984.7,129696.9,131962,133035.4,132063.6,131036.7,132568.4,138347.4,134626.4,135825.3,129908.5,123825.9,114786.3,109269.3,110381.3,101525.6,106610.9,96691.2,89049.9,89927.5,89491.6,83518.4,80933.2,80181.9,79412.6,79057.8,81305.7,86004.7,84170.1,83731.7
310,"1120310","Terras de Bouro",1311,1595.1,1383.7,1458.3,1424.3,1393.4,1109.9,1305.9,1199.8,904.2,909.6,884.2,903,866,1014.6,1004.8,790,921.6,831.2,673.8,680,685,693.6,772.6,777.4,781,728,746.4,725.2,683.8,691.6
