"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",85861.5,90450.1,98515.8,98922.8,92518.4,92224.6,94348.8,92796.5,106001.5,116086.5,110452.7,109664.4,101119.4,105396.7,98292.2,96328.4,100253.3,94864.6,95195.5,100982.4,95910.2,95269.2,96866,95810.1,94171.2,92224.6,90504.7,86616.6,83435.4,81024,79564
1602,"1111602","Caminha",6000,6872.6,7068.2,7163.1,7041.8,7118.9,7126.6,7312,7450.9,7910.3,7703.2,7773.5,7482.8,7583.8,7293.7,7382.3,7370,7681.5,7482.3,7642.2,7217.5,7033.9,6928.8,7071.9,6651.2,6588.6,6396.7,5962.1,5324.7,5004.9,4711.1
1603,"1111603","Melgaço",39404.6,41975.3,45261.5,45471.5,43325.2,43033.4,38589.8,38404.9,42228.3,38738.7,36964.2,36919,34699.4,35870.1,33275.9,32779.9,28930.8,29015.9,29307.5,24996.7,23541.8,22986.1,22812.3,22613.6,21579.5,21146.9,20464.3,18943,17112.7,16070.3,15311.5
1604,"1111604","Monção",45637.8,49370.3,51927.2,52519.5,51531.3,51140.5,52929.2,53344.8,57150.4,62374.5,59173.8,59763.6,56304.1,58163.9,54390.9,53342.9,49039.9,49432.9,49782.4,45214.8,42422.2,41152.4,40646.4,40962.8,38603.4,37860.3,36744.6,34103.8,30641,28837.5,27418.8
1605,"1111605","Paredes de Coura",12348.5,13523.8,14176.5,14319.6,13943.8,13842.3,20290.6,20459,21533.6,29769.3,28396.9,28690.6,27324.8,28049.6,26608.3,26134.7,31249.2,31618.6,31629,37093.6,35128.4,34412.2,34392.8,34949.7,33445.6,32952.1,32119.4,30460.4,27958.8,26620.2,25695
1606,"1111606","Ponte da Barca",35800.7,37687.6,41282.8,41403.5,38540.6,38484.9,34571.1,33789.5,38877.5,36507.2,34693,34099.5,31516.4,32896.2,30336.3,29704.3,28331.8,26748.2,27113.4,25372.5,24153.3,24085.4,24561.8,24221.5,23911.9,23412.2,23008.1,22067,21087.1,20440.2,20106
1607,"1111607","Ponte de Lima",34421.3,37120.8,39561.1,40105.2,37766.5,38304.4,40835.5,40489.1,45001.9,51137.8,48759.1,48711.3,45599.8,47067.3,45387.3,44310.7,48055.9,47662.3,47132.2,51389.4,49095.6,48568.6,48634.6,49410,47928.9,47440.4,46418.1,44554.7,41804,40228.9,38993.2
1608,"1111608","Valença",13898.4,15469,16075.1,16179.8,15968.2,15819.7,16458.5,16615.3,17166,18764.3,17903.8,18019.7,17146.6,17553.6,16392.3,16211.6,15492.1,15940.8,15906.1,14824.9,14004.6,13641.2,13505.2,13695.2,12925.8,12729.7,12337.1,11511.3,10310.7,9667.1,9171.9
1609,"1111609","Viana do Castelo",19914.7,23478.8,23557.9,24512.3,23504,24299.8,25301.4,25461.9,27183.9,31723.3,30278.5,30332.6,28027.6,28435.9,27836,27279.3,30392.7,30305.9,28433.1,30628.3,29698.9,30032,30636.8,31447.8,30806.1,30677,30167.9,29307.2,28169.4,26992.9,26194.1
1610,"1111610","Vila Nova de Cerveira",4335.1,5023.3,5066.4,5209,5176.3,5251.2,6484.8,6641.5,6825.8,8690.1,8347.6,8411.6,8169.4,8378.1,8029.8,7989.9,7671.3,8061.6,7970.3,7662.9,7281,7160.9,7046.6,7095,6753.5,6696.2,6493,6034,5391.8,5017.9,4729.8
