"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,47.5,94.1,82.6,69.3,55.1,40.9,39.5,39.5,64.2,100.4,81,53.4,58.9,63.7,69.2,73.8,78.3,82.8,87.2,87.2
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,12.6,25,22.1,18,14.2,10.4,9.4,9.4,15.8,23.2,18.4,12,12.9,13.7,15.5,16.2,17.1,18,19.6,19.6
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,16.5,32.6,26.9,21.8,16.1,11.4,10.3,9.4,14,18.6,12.9,6.4,7.4,7.3,8.2,9,9,9.9,10.7,10.7
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,44.6,87.4,73.9,58.9,44.6,30.4,28.2,25.4,37.2,51.2,34,17.5,19.3,20.9,22.8,24.3,25.2,27,28.5,28.5
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,20.4,41.3,33.6,26.6,20,13.3,12.2,10.3,14.9,19.5,11,4.6,4.6,5.5,5.5,6.3,6.3,7.2,7.1,7.1
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,16.5,31.7,27.8,22.8,18,12.3,11.3,11.3,17.7,26,19.3,12,12.9,13.7,15.5,16.2,17.1,18,19.6,19.6
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0,0,0,0,0,60.1,120,103.7,85.5,67.4,47.5,45.1,43.2,69.8,104.2,81,49.7,55.2,60.1,64.6,69.3,73.8,78.3,81.9,81.9
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,39.8,79.7,66.2,52.2,38.9,26.6,22.6,19.7,27.9,34.4,20.2,7.4,8.3,8.2,9.1,9.9,10.8,10.8,11.6,11.6
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,361.8,716.2,592.3,464.5,345.8,228.9,199.3,170.1,232.5,276.2,145.4,36.8,40.5,43.7,47.3,50.4,54,56.7,59.6,59.6
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,16.5,33.6,27.8,22.8,17.1,11.4,10.3,9.4,14,18.6,12.9,6.4,6.4,7.3,8.2,8.1,9,9.9,9.8,9.8
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,30.1,59.5,49.9,39.9,30.4,20.9,19.7,17.9,27,36.3,25.8,13.8,14.7,16.4,17.3,18.9,19.8,20.7,22.2,22.2
302,"1120302","Barcelos",0,0,0,0,0,0,0,0,0,0,0,35.9,70.1,61.4,51.3,40.9,29.4,28.2,28.2,45.6,70.7,57,36.8,40.5,43.7,47.3,50.4,54,56.7,59.6,59.6
303,"1120303","Braga",0,0,0,0,0,0,0,0,0,0,0,69.8,139.2,117.1,95,73.1,50.3,46.1,43.2,65.1,91.1,64.4,35.9,39.6,42.8,46.4,49.5,52.2,55.8,57.9,57.9
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,28.1,55.7,48,40.9,32.3,23.8,22.6,22.6,37.2,58.6,46.9,30.4,34,36.4,40,42.3,45,47.7,49.8,49.8
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,7.8,16.3,14.4,12.3,9.5,7.6,7.5,7.5,12.1,19.5,16.6,11,12,13.7,14.6,15.3,16.2,17.1,17.8,17.8
313,"1120313","Vila Verde",0,0,0,0,0,0,0,0,0,0,0,26.2,51.8,46.1,38.9,31.3,22.8,22.6,21.6,36.3,56.7,46,30.4,33.1,36.4,39.1,42.3,44.1,46.8,49,49
307,"1130307","Fafe",0,0,0,0,0,0,0,0,0,0,0,3.9,8.6,7.7,7.6,6.6,5.7,5.6,6.6,12.1,20.5,18.4,13.8,14.7,16.4,18.2,18.9,19.8,21.6,22.2,22.2
308,"1130308","Guimarães",0,0,0,0,0,0,0,0,0,0,0,16.5,32.6,28.8,23.8,19,13.3,13.2,13.2,21.4,32.6,25.8,16.6,18.4,20,21.8,22.5,24.3,26.1,26.7,26.7
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,0,0,0,0,0,9.7,19.2,17.3,14.2,12.3,8.5,8.5,9.4,15.8,25.1,21.2,14.7,15.6,17.3,19.1,19.8,21.6,22.5,24,24
1314,"1131314","Santo Tirso",0,0,0,0,0,0,0,0,0,0,0,27.2,52.8,44.2,34.2,24.7,16.1,14.1,11.3,15.8,16.7,7.4,0,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,1.9,1.9,1.9,2.8,4.7,9.3,9.2,7.4,8.3,8.2,9.1,9.9,10.8,10.8,11.6,11.6
311,"1130311","Vieira do Minho",0,0,0,0,0,0,0,0,0,0,0,8.7,17.3,16.3,14.2,12.3,9.5,9.4,10.3,17.7,29.8,25.8,18.4,20.2,21.8,23.7,25.2,27,27.9,29.4,29.4
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,0,0,0,0,0,13.6,26.9,24,20.9,17.1,13.3,13.2,13.2,23.2,38.1,32.2,22.1,24.8,26.4,29.1,30.6,32.4,34.2,36.5,36.5
