"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1930.6,3157.2,2233.8,2632.7,2405.7,2463.3,3436,2816.4,2974.8,4156.3,3979.7,3710,3053.1,2655.3,2514.2,2741.8,3225,2890.6,1919.9,2324.8,2274.3,2052.8,2005.1,2072.1,2021.6,1814.1,1663.2,1718.6,1866.5,1623.2,1438.4
1602,"1111602","Caminha",268.8,439.3,310.2,363,334.8,340.8,719.8,591.1,628.2,1052.7,1010,938.6,772.8,671,635.4,694.6,515,460.8,303.6,116.4,113.9,101.5,99.1,103.7,101.2,89.7,80.7,85,91.7,80.2,69.8
1603,"1111603","Melgaço",506.8,831,590.9,697,635.7,654.6,530.1,436.8,460.8,374.7,358,332.6,273.4,240.6,226.7,244.8,235.5,213.6,139.6,128.3,125.5,112.7,110,114.4,111.6,99.6,90.3,94.3,103.9,89.1,78.1
1604,"1111604","Monção",1295,2112.8,1496.8,1762.9,1611.4,1649.3,1039.1,851.6,900.6,339.3,323.2,303,249.7,217.3,204.4,222.4,419,377.3,250,433.8,424.4,382.7,373.8,386.6,377.2,338.2,310.1,320.4,348.2,302.6,268.2
1605,"1111605","Paredes de Coura",421.4,688.2,485.1,570.2,522,533.6,730.4,601.5,633.6,875.8,840.7,781.8,643.5,559.7,530.9,578.9,825,737.3,492.1,714.8,699.3,630.4,615.7,637.1,621.6,557.1,510.2,527.8,574.3,498.4,441.3
1606,"1111606","Ponte da Barca",702.8,1145.8,812.7,956.3,873.6,896.5,979.6,804,848.4,987.2,945.1,879.8,724.9,629.1,599,649.7,729,653.8,434.8,494,483.3,435.2,425,440.3,429.6,384.6,351.9,364.3,397.2,344.1,304.3
1607,"1111607","Ponte de Lima",2279.2,3733.2,2643.2,3110.6,2842.5,2920.1,3907.2,3204.9,3388.2,4616.8,4427.8,4125,3394.1,2955.8,2795.5,3044.7,2653.5,2379.8,1579.2,1132.1,1107.5,998.5,975.2,1009,984.4,882.4,807.3,835.9,907.2,789.5,698.2
1608,"1111608","Valença",256.9,421.6,298.2,351.1,317.9,330.1,633,516.7,544.8,890.9,850.4,791.8,652.9,569.2,535.6,587.5,515,460.8,307.8,224.9,220.1,199.1,194.5,200.5,195.6,175.9,161.3,166.7,180.2,157.4,139.5
1609,"1111609","Viana do Castelo",5144.3,8415.7,5959,7016.5,6410.9,6576.6,7316,6000,6342,7512.2,7198.5,6711,5520.4,4806,4547.4,4954.1,4639,4155.8,2760.8,2340.5,2289.6,2067.9,2019.8,2086.1,2035.2,1827.4,1672.8,1731.2,1881.6,1635.1,1446.7
1610,"1111610","Vila Nova de Cerveira",598.5,973.1,690.1,812.5,743,758.5,649.1,532.5,565.8,491.3,467.4,440.2,360.3,314.8,294.8,324.9,253,226.1,147.6,72.2,70.7,63.6,62.2,64.4,62.8,56.2,51.8,53.3,58.1,50.3,44.8
