"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",12578,14766,16042,16125,16211,16117,15650,15553,16025,15746,15467,14031,14130,14012,11836,11541,10530,11419,12052,10528,9524,8843,8026,7604,7604,7323,6901,6337,5632,5210,4788
1602,"1111602","Caminha",1245,1461,1587,1512,1436,1341,1216,1121,1062,950,839,674,587,591,509,507,471,522,566,507,471,454,426,405,405,389,367,336,298,277,253
1603,"1111603","Melgaço",5732,6730,7311,7174,7032,6808,6429,6204,6196,5889,5585,4882,4723,4774,4116,4104,3835,4267,4633,4171,3904,3761,3556,3370,3370,3244,3058,2808,2496,2309,2121
1604,"1111604","Monção",1500,1760,1913,1989,2070,2127,2137,2194,2335,2370,2406,2254,2343,2319,1956,1905,1734,1877,1978,1722,1553,1438,1300,1231,1231,1186,1117,1027,913,844,776
1605,"1111605","Paredes de Coura",375,442,479,619,762,901,1017,1157,1345,1477,1606,1604,1765,1832,1624,1665,1602,1836,2054,1909,1844,1836,1797,1703,1703,1640,1546,1418,1261,1166,1072
1606,"1111606","Ponte da Barca",7368,8651,9399,9391,9383,9267,8939,8823,9028,8806,8584,7728,7718,7570,6318,6078,5463,5825,6029,5151,4540,4091,3582,3393,3393,3268,3079,2828,2514,2325,2137
1607,"1111607","Ponte de Lima",3319,3896,4234,4391,4556,4672,4680,4796,5094,5161,5224,4884,5069,5308,4745,4906,4756,5499,6202,5809,5658,5679,5599,5304,5304,5108,4813,4421,3930,3635,3340
1608,"1111608","Valença",1251,1467,1595,1648,1703,1740,1738,1775,1879,1897,1915,1785,1848,1820,1526,1477,1335,1432,1494,1288,1147,1047,931,882,882,848,801,734,654,605,556
1609,"1111609","Viana do Castelo",2384,2800,3042,3014,2985,2922,2791,2728,2761,2663,2565,2282,2249,2388,2164,2268,2227,2606,2975,2820,2777,2818,2808,2661,2661,2563,2414,2217,1972,1822,1675
1610,"1111610","Vila Nova de Cerveira",395,463,503,554,605,652,683,731,807,848,888,856,915,998,927,994,998,1190,1384,1335,1337,1379,1394,1322,1322,1273,1198,1100,978,905,833
301,"1120301","Amares",941,1104,1200,1210,1220,1216,1182,1180,1220,1202,1184,1076,1088,1145,1027,1066,1037,1204,1363,1280,1251,1261,1247,1182,1182,1137,1072,984,876,809,744
302,"1120302","Barcelos",463,544,591,638,687,729,752,795,868,903,937,895,950,1047,980,1058,1068,1284,1500,1455,1465,1516,1540,1459,1459,1404,1324,1216,1080,1000,919
303,"1120303","Braga",575,676,734,784,835,876,897,941,1019,1053,1086,1033,1090,1113,970,978,923,1041,1143,1043,990,968,929,880,880,848,799,732,652,603,554
306,"1120306","Esposende",104,124,134,139,143,147,147,151,161,163,165,155,161,181,173,190,196,238,283,277,281,293,300,285,285,275,259,238,210,194,179
310,"1120310","Terras de Bouro",10909,12806,13914,13914,13915,13758,13287,13130,13448,13132,12818,11553,11555,11677,10064,10031,9369,10422,11310,10180,9521,9169,8666,8211,8211,7906,7451,6842,6082,5626,5169
313,"1120313","Vila Verde",3778,4436,4819,4807,4794,4725,4550,4481,4576,4454,4330,3888,3875,4114,3727,3904,3833,4483,5118,4849,4774,4843,4825,4572,4572,4403,4148,3810,3386,3132,2879
307,"1130307","Fafe",3562,4181,4542,4432,4320,4153,3894,3729,3692,3478,3264,2820,2692,2673,2260,2207,2017,2192,2317,2029,1840,1712,1559,1477,1477,1422,1341,1231,1094,1011,931
308,"1130308","Guimarães",990,1163,1263,1200,1135,1057,954,874,823,731,640,507,434,483,456,497,505,611,719,699,707,736,750,711,711,683,644,593,526,487,448
309,"1130309","Póvoa de Lanhoso",1773,2082,2262,2400,2541,2659,2714,2830,3058,3146,3234,3069,3228,3174,2655,2561,2309,2470,2567,2203,1952,1771,1563,1481,1481,1426,1343,1233,1098,1015,933
1314,"1131314","Santo Tirso",452,530,575,570,562,548,522,509,515,495,475,420,412,452,420,454,456,546,636,615,617,638,646,613,613,589,556,511,454,420,385
1318,"1131318","Trofa",0,0,0,6,12,18,24,27,35,41,47,49,55,75,82,102,114,149,187,192,204,220,234,222,222,214,200,185,165,151,139
311,"1130311","Vieira do Minho",5591,6563,7131,7026,6918,6730,6388,6200,6229,5962,5695,5016,4896,4784,3975,3804,3399,3602,3700,3132,2732,2429,2091,1981,1981,1909,1799,1652,1467,1357,1247
312,"1130312","Vila Nova de Famalicão",458,536,583,595,607,613,605,609,638,636,634,585,599,658,617,666,672,805,943,913,917,950,964,913,913,880,829,762,678,626,575
314,"1130314","Vizela",0,0,0,8,18,26,33,43,53,63,71,73,82,81,65,63,55,57,57,47,39,33,27,26,26,26,24,22,20,18,16
107,"1140107","Espinho",33,39,43,43,43,43,43,43,43,43,43,39,39,39,35,35,33,39,43,39,37,37,35,33,33,31,31,27,26,24,22
1304,"1141304","Gondomar",389,458,497,481,467,446,414,393,385,357,332,283,265,263,224,220,200,218,232,204,185,173,159,151,151,145,137,126,112,104,94
1306,"1141306","Maia",157,185,200,196,192,187,177,171,169,161,153,134,130,134,118,120,114,130,143,134,128,126,122,116,116,112,104,96,86,79,73
1308,"1141308","Matosinhos",130,151,165,165,163,161,153,151,153,149,143,130,128,136,122,128,124,145,165,155,153,153,153,145,145,139,132,122,108,100,90
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,16,22,27,31,33,37,41,39,39,37,35,33,29,27,24
1313,"1141313","Póvoa de Varzim",116,136,147,155,163,169,171,177,190,194,198,189,196,310,369,475,548,734,939,980,1053,1151,1227,1163,1163,1119,1055,968,862,797,732
1315,"1141315","Valongo",169,198,216,216,218,216,208,206,212,208,204,185,185,189,165,167,159,179,198,181,173,169,163,155,155,149,139,130,114,106,98
1316,"1141316","Vila do Conde",244,285,310,322,332,340,340,348,367,371,375,352,363,387,352,367,361,424,485,460,454,461,460,436,436,420,395,363,322,298,275
1317,"1141317","Vila Nova de Gaia",352,412,448,420,393,359,318,285,259,222,185,136,104,118,112,124,128,155,185,181,185,192,198,189,189,181,171,157,139,130,118
1301,"1151301","Amarante",5271,6188,6722,6591,6457,6245,5891,5679,5664,5377,5092,4444,4293,4346,3755,3751,3511,3916,4261,3847,3608,3486,3305,3130,3130,3014,2842,2610,2319,2144,1972
1302,"1151302","Baião",3099,3639,3953,3877,3798,3672,3464,3340,3331,3164,2997,2614,2525,2527,2158,2127,1964,2158,2311,2052,1891,1791,1663,1575,1575,1518,1430,1314,1166,1080,992
304,"1150304","Cabeceiras de Basto",7786,9141,9931,9819,9701,9473,9028,8798,8880,8539,8199,7264,7134,7242,6274,6286,5903,6604,7211,6534,6151,5966,5681,5383,5383,5182,4884,4485,3987,3688,3390
106,"1150106","Castelo de Paiva",1108,1300,1412,1383,1351,1304,1225,1178,1172,1110,1047,909,874,907,803,823,791,905,1013,941,907,903,884,837,837,805,760,697,621,573,526
305,"1150305","Celorico de Basto",2510,2946,3201,3297,3397,3462,3446,3511,3708,3735,3759,3498,3609,3608,3073,3024,2789,3056,3266,2891,2655,2508,2321,2199,2199,2117,1995,1832,1630,1506,1384
1804,"1151804","Cinfães",6249,7337,7971,7946,7918,7800,7504,7386,7533,7327,7119,6386,6357,6384,5467,5410,5016,5536,5958,5314,4923,4692,4385,4155,4155,4000,3770,3462,3077,2848,2616
