"Muni_ID","ID","Muni","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",250636,246380,181569,224796,121930,176023,207146,159898,180427,174477,170064,163443,118326,188899,114300,207329,177318,156070,195148,128038,133046,183931,128955
1602,"1111602","Caminha",35163,36153,20232,27188,15380,17058,23136,17436,21804,18755,22175,19985,12935,18555,16256,21570,21610,17550,20290,13820,15816,22080,13617
1603,"1111603","Melgaço",31953,34033,24706,27756,15984,20234,23814,21082,23158,19555,21582,18864,7502,19070,8688,21979,9138,8964,21055,8556,9188,10998,6512
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19006,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32388,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",363444,359027,261342,340314,168122,256820,303530,219015,241949,220241,210383,190294,120172,192820,172128,186624,175003,138401,182772,119774,118527,165995,122097
1608,"1111608","Valença",56784,56340,41424,49291,32568,38920,46360,34830,39744,38907,39160,35608,28416,41346,28700,46134,37672,35464,40536,28700,31941,36456,29292
1609,"1111609","Viana do Castelo",93214,88000,61824,77328,35470,56336,64005,45626,52078,47712,46860,41490,22560,39546,36280,38248,39104,26012,37200,22116,24036,34545,24570
1610,"1111610","Vila Nova de Cerveira",63720,64498,43820,53808,22104,38214,43660,30438,37188,32712,33320,29533,19290,31290,21400,35063,29280,24630,31724,19710,20885,30372,19216
301,"1120301","Amares",51348,53594,37680,46730,26347,33854,42586,36304,35053,34336,30489,31189,20851,37389,24223,32075,34198,28700,35040,21115,21981,34473,21161
302,"1120302","Barcelos",462543,450776,347013,461021,345780,371443,431463,357654,393395,372857,376166,367613,243089,443949,342990,456693,424879,362410,467851,306810,290638,423184,314009
303,"1120303","Braga",255120,239985,191162,242825,161931,188223,226748,167642,194719,180616,177914,171888,115213,196578,156155,193692,180879,156360,207768,136010,126242,180584,137300
306,"1120306","Esposende",26958,26370,17832,26850,14576,20115,22440,15255,20770,16468,19124,17720,12160,18396,14031,19356,20244,16780,19516,11964,12735,15426,15876
310,"1120310","Terras de Bouro",183555,201173,150031,288753,189871,229546,256822,205990,117513,215748,208234,189181,67887,217841,174255,221144,184326,175815,239667,140001,143828,197471,138354
313,"1120313","Vila Verde",655452,617914,451160,564362,349039,407560,492103,363102,416005,386412,382595,360069,252301,416419,334973,417752,402910,327649,430417,275720,265993,383050,279232
307,"1130307","Fafe",1045435,972369,598633,1620824,921825,1319297,1366978,1016938,412278,1075514,1085581,999060,330667,1185901,861709,1145146,948208,1059515,1182382,779673,707209,1007513,748825
308,"1130308","Guimarães",517708,487104,364725,471348,294225,361782,406033,281086,349543,319354,324316,300813,212169,353849,272518,353956,319708,294415,365091,237477,219584,308122,231414
309,"1130309","Póvoa de Lanhoso",460533,453235,275521,401008,191177,282718,332941,228530,187114,254943,253846,233859,166900,273893,176752,266880,238852,228300,293360,170095,162305,235583,170965
1314,"1131314","Santo Tirso",11214,10782,8166,11748,0,9328,11030,8672,10646,10596,0,10718,0,12618,0,12636,13188,0,12780,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31095,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",77745,75010,51126,64411,54428,48190,53727,43487,49271,39164,42611,41273,31467,62617,44487,61029,42279,51676,63759,36034,32456,48053,34178
312,"1130312","Vila Nova de Famalicão",239463,224785,183286,244360,172242,191651,220544,172896,195197,182888,178512,170607,119340,202170,163471,205942,190865,164893,209268,142401,131260,179267,140202
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",80249,83137,54815,76046,50561,62523,58393,50657,54017,54856,52992,47193,33552,57442,45264,56578,51811,46232,60392,36189,35060,46112,37268
1306,"1141306","Maia",15255,16071,11373,15987,19296,13890,15252,12684,14625,15189,17943,14415,11490,17085,16080,17088,16209,15468,18393,14934,14652,17958,12382
1308,"1141308","Matosinhos",19524,21880,14124,20704,23220,18412,19300,16480,18704,19968,19677,18232,12519,22192,21280,22268,20072,20316,23120,14772,14478,23892,18501
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",32151,33383,23044,34867,33304,29330,32480,25697,30751,30863,30576,30737,19764,41800,35868,42672,39568,32984,45560,26988,26964,40061,29025
1315,"1141315","Valongo",118870,114939,61078,175662,128269,146946,147618,122061,50266,129608,149012,123089,56851,163622,129555,166604,137586,143037,175402,112502,107596,140633,115001
1316,"1141316","Vila do Conde",71685,76743,55502,81372,84818,70188,72118,56225,69094,71297,71752,68588,51136,86140,84020,94415,83156,73554,99244,66254,61256,82148,66615
1317,"1141317","Vila Nova de Gaia",116323,121718,60930,100899,54788,89927,81116,79941,46123,69939,79407,55293,46273,67764,55481,61210,54842,56839,68054,45121,44002,57547,48292
1301,"1151301","Amarante",274655,280863,194463,283428,127527,226964,224398,187173,183804,181405,178738,154270,111217,180034,116515,165640,145785,131513,169644,114435,101800,145348,102954
1302,"1151302","Baião",525110,522816,309291,797860,316285,630578,598876,489862,219232,461652,459604,375359,166316,417261,303806,352505,291096,330470,367725,247384,226594,296050,225554
304,"1150304","Cabeceiras de Basto",109990,111338,77494,106020,65710,86229,89788,81847,74604,69220,74145,63246,48795,78851,63624,75918,59238,70077,78082,49787,47592,71376,52818
