"Muni_ID","ID","Muni","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",5198,5440,3556,3812,2074,4320,5840,2996,3183,3078,3423,3432,1977,3114,2120,3822,3375,4149,3372,2964,2204,3447,3052
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",12285,11774,7653,8757,7096,13412,17979,7884,10362,9450,8160,9306,3353,7288,6699,7777,6755,7440,7798,4944,4850,6252,7325
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",2430,2394,1382,1706,0,1692,2444,1140,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",2722,2670,1566,1662,0,1982,2776,1484,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",5826,5460,3768,4719,4365,4624,6583,3145,4590,4545,3015,4848,1389,3652,2874,3326,2833,4179,3402,2397,2901,2901,3243
303,"1120303","Braga",18697,15800,10897,12676,11802,14030,19247,6695,11416,11108,10866,10397,3295,7160,8507,8523,7794,6410,9378,4150,4444,5369,6511
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",12672,12664,7991,9147,10502,11831,16394,5915,10042,9894,8464,10247,3829,8430,8708,11025,7501,9836,10307,6082,7459,7426,9365
307,"1130307","Fafe",2896,2696,1636,2238,0,2048,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",29281,25267,16053,17734,12722,17258,22907,7970,14909,13907,12300,13146,5900,11391,10485,16399,10971,15454,14092,9470,9692,11039,12765
309,"1130309","Póvoa de Lanhoso",2495,2394,1248,1544,0,1878,2535,925,1545,1482,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,"1131314","Santo Tirso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",4393,3808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",2430,2038,1410,1640,0,1744,2460,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,"1141306","Maia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
