"Admin_id","ID","Muni","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",446261,427526,347850,394023,208824,299384,357430,293221,341431,324727,300115,319599,216584,332150,185372,251691,238686,199507,219219,201846,197285,216189,186125
1602,"1111602","Caminha",26999,23418,15306,19180,11560,12525,18310,11680,15096,15408,17188,17192,7512,14092,10857,16608,17280,12848,15336,11193,12120,12696,13356
1603,"1111603","Melgaço",61082,59956,47658,55356,26572,40843,44310,40500,41499,43830,35868,38224,26075,31563,25158,36204,32720,29969,32168,27282,23635,30817,25080
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14715,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6939,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,66892,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",426854,414869,325565,394893,189850,281014,345961,264744,305654,270754,238950,247832,142296,223391,184002,213237,216808,161382,205884,155820,148005,195064,141708
1608,"1111608","Valença",39510,42363,33129,36048,24090,26404,31920,25319,32641,31381,29154,28884,17950,27306,19215,25117,24471,20597,20506,20097,20524,20780,19114
1609,"1111609","Viana do Castelo",34064,30576,24768,30331,10344,19710,25008,16700,21435,16700,18356,18284,8550,12951,12384,14088,15432,11133,13512,8256,8430,9656,9794
1610,"1111610","Vila Nova de Cerveira",51132,50611,37554,45780,17905,25936,34088,27856,31178,30254,28134,28002,16610,26400,15824,24845,25155,19580,21980,17664,17588,19996,14385
301,"1120301","Amares",40401,42111,31851,35800,20810,27104,31290,29253,32207,26430,23990,23915,17610,25725,17456,25565,28735,22610,28020,18384,18144,22056,15276
302,"1120302","Barcelos",44492,43581,36088,45237,33281,35221,40559,36418,41951,36725,36875,39791,24602,44763,30968,44326,43100,35944,45427,31752,31017,40779,29702
303,"1120303","Braga",33565,31766,25655,28254,21835,22086,28470,23568,24005,22900,20236,24745,13888,26010,18444,20268,20370,17092,20091,17114,16135,17629,16425
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",129584,130248,107296,123422,76950,89640,104972,93104,99540,92435,82944,82569,61035,89080,68430,91879,80800,73275,94430,61698,66222,79008,56100
313,"1120313","Vila Verde",375360,348900,275429,319332,197184,219492,274380,219963,257730,231868,213708,227527,148092,236833,177640,236222,237996,181608,228158,173086,158900,207991,160704
307,"1130307","Fafe",461280,460257,357445,462870,256101,357420,379760,316920,352368,320144,298053,305976,222966,332465,225120,303597,284656,301676,296241,229783,207680,254880,208696
308,"1130308","Guimarães",115224,103708,84663,104475,62510,74480,85392,68526,82620,73648,66716,69454,48061,76174,55668,75544,70798,64571,79128,52294,51095,65916,48699
309,"1130309","Póvoa de Lanhoso",147711,146744,108459,130123,61700,84144,104227,83402,95872,87980,79870,82644,58566,86520,53004,75398,77063,68986,80512,59856,54288,64666,53107
1314,"1131314","Santo Tirso",70588,63666,50814,62496,35212,41034,50862,43344,48539,47324,44100,46035,30955,52052,29136,32704,34680,28494,31405,26303,24591,26640,26832
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",169412,161188,117230,137968,112961,102642,113533,101870,112761,104994,102755,108042,83620,130862,99440,128887,115414,123992,126848,93590,86493,114033,82615
312,"1130312","Vila Nova de Famalicão",9646,9090,7328,10018,0,7548,9524,8396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",62244,63720,41592,57585,34416,44720,45300,37665,41544,45927,44212,38688,28770,43752,35623,36549,35673,36569,37304,28908,27108,29663,28250
1306,"1141306","Maia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",9016,10130,6808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",45319,48796,30598,39315,20947,34265,30736,31488,27822,29064,31186,22997,18075,26155,20332,21088,19629,20744,22104,17402,15764,17325,18036
1301,"1151301","Amarante",1230824,1266960,939000,1275072,565714,996192,981036,905472,906267,868322,785540,749418,525145,832416,520562,649903,633237,552891,618770,532646,475893,538996,493898
