"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",20655000,20655000,20655000,20437500,19613250,18777750,19260000,18562500,17865000,17130000,17100000,15382500,13635000,13102500,12570000,12045000,12090000,11550000,11025000,11580000,11332500,11325000,5505000,11467500,11850000,12225000,12607500,11992500,11385000,10770000,10770000
1602,"1111602","Caminha",2617500,2617500,2617500,2595000,2565000,2535000,2145000,2070000,1987500,1477500,1477500,1327500,1177500,1132500,1080000,1035000,1035000,990000,945000,990000,967500,967500,277500,982500,1012500,1042500,1080000,1027500,975000,922500,922500
1603,"1111603","Melgaço",7366500,7366500,7366500,7284000,7201500,7119750,6670500,6431250,6192000,5653500,5646000,5077500,4502250,4322250,4150500,3978750,3597000,3440250,3282750,2924250,2856750,2856750,2595000,2894250,2991000,3088500,3186000,3028500,2871750,2715000,2715000
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207500,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4410000,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017500,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",2622000,2622000,2622000,2592750,2564250,2535000,2585250,2491500,2397750,2513250,2505750,2260500,2000250,1920750,1842000,1769250,1480500,1415250,1350750,1018500,996750,996750,780000,1011000,1047000,1076250,1112250,1062000,1004250,953250,953250
1608,"1111608","Valença",2122500,2122500,2122500,2100000,2077500,2047500,1927500,1860000,1785000,1642500,1635000,1470000,1305000,1252500,1200000,1155000,1155000,1102500,1050000,1102500,1080000,1080000,510000,1087500,1125000,1162500,1200000,1140000,1080000,1027500,1027500
1609,"1111609","Viana do Castelo",861750,861750,861750,851250,840000,828750,763500,736500,708750,627000,621750,561750,496500,480000,458250,441750,360000,343500,327000,234750,228750,228750,60000,228750,240000,245250,256500,240000,228750,218250,218250
1610,"1111610","Vila Nova de Cerveira",315000,315000,315000,315000,307500,307500,270000,262500,247500,202500,202500,180000,165000,157500,150000,142500,127500,120000,112500,97500,97500,97500,52500,97500,97500,105000,105000,105000,97500,90000,90000
301,"1120301","Amares",256500,256500,256500,246750,236250,226500,147750,144000,139500,92250,103500,107250,111750,121500,132000,142500,587250,612750,638250,663750,647250,647250,457500,658500,681000,697500,720000,686250,652500,613500,613500
302,"1120302","Barcelos",113250,113250,113250,113250,111000,111000,118500,113250,108000,121500,118500,108000,94500,91500,89250,84000,89250,86250,81000,91500,89250,89250,67500,89250,91500,97500,99750,94500,89250,84000,84000
303,"1120303","Braga",507000,507000,507000,486750,467250,447000,456000,443250,429750,516750,579000,603750,627750,660000,631500,607500,587250,559500,534750,531000,519000,519000,442500,527250,543000,559500,579000,551250,522750,495000,495000
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",2850000,2850000,2850000,2820000,2782500,2752500,2730000,2632500,2527500,2535000,2527500,2280000,2017500,1942500,1860000,1785000,1650000,1575000,1500000,1387500,1357500,1357500,1305000,1372500,1417500,1470000,1515000,1440000,1365000,1290000,1290000
313,"1120313","Vila Verde",912000,912000,912000,876000,840000,804000,1659000,1594500,1536750,1386000,1378500,1242000,1105500,1055250,1012500,976500,919500,883500,840000,804000,789750,789750,675000,797250,825750,854250,876000,833250,789750,747000,747000
307,"1130307","Fafe",2865000,2865000,2865000,2752500,2640000,2527500,1821750,1769250,1716000,1371000,1536000,1600500,1665000,1818000,1971750,2124750,3348000,3494250,3640500,3555000,3480000,3472500,2655000,3517500,3637500,3750000,3870000,3682500,3495000,3307500,3307500
308,"1130308","Guimarães",270000,270000,270000,259500,249000,238500,159750,155250,150750,105750,117750,123000,128250,139500,151500,163500,255750,243750,231750,222750,218250,218250,180000,220500,227250,234750,243750,231750,220500,208500,208500
309,"1130309","Póvoa de Lanhoso",2748750,2748750,2748750,2641500,2533500,2424750,1671000,1622250,1574250,1158000,1296750,1351500,1406250,1535250,1569750,1506750,1362000,1299000,1242000,1103250,1078500,1078500,712500,1090500,1128750,1166250,1204500,1141500,1084500,1027500,1027500
1314,"1131314","Santo Tirso",278250,278250,278250,267750,256500,246000,177000,171750,166500,132000,148500,154500,160500,175500,190500,205500,348000,363000,378000,434250,423000,423000,150000,428250,444750,455250,467250,450000,428250,402000,402000
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",21726000,21726000,21726000,21493500,21253500,21006000,18045750,17394000,16734750,12830250,12800250,11518500,10215000,9810000,9412500,9015750,9532500,9113250,8693250,9787500,9577500,9570000,9735000,9690000,10012500,10334250,10656750,10140000,9615000,9098250,9098250
312,"1130312","Vila Nova de Famalicão",13500,13500,13500,13500,12750,12000,17250,16500,15750,23250,26250,25500,22500,21750,21000,19500,19500,18750,18000,18000,17250,17250,15000,18000,18000,18750,19500,18750,17250,16500,16500
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",241500,241500,241500,231750,222000,213000,208500,202500,196500,205500,205500,184500,164250,159000,153750,144000,144000,133500,128250,128250,128250,128250,97500,128250,133500,138750,144000,133500,128250,123000,123000
1306,"1141306","Maia",24000,24000,24000,23250,22500,21000,12750,12000,12000,6000,6750,7500,7500,8250,9000,9750,21750,21750,20250,25500,24750,24750,22500,25500,26250,27000,27750,26250,24750,24000,24000
1308,"1141308","Matosinhos",17250,17250,17250,17250,17250,17250,15750,15000,15000,4500,4500,4500,5250,5250,6000,6000,13500,12750,12000,15000,14250,14250,15000,15000,15000,15750,16500,15000,14250,13500,13500
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
