"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",124916,128010,133994,151640,187612,175406,77690,58752,72794,58276,55250,42058,57188,54366,48042,50252,39338,36720,27268,22916,22236,21998,31926,28730,29308,29376,28662,30804,27642,27404,28798
1602,"1111602","Caminha",32402,33218,34748,39372,48688,45526,19550,14790,18292,12444,11798,9010,12240,11662,10234,10710,10676,9996,7412,7684,7446,7378,10710,9622,9826,9860,9622,10336,9282,9214,9690
1603,"1111603","Melgaço",35258,36142,37842,42806,52972,49538,20570,15572,19278,10642,10098,7650,10438,9894,8738,9214,7412,6936,5134,4454,4318,4284,6188,5610,5678,5712,5576,5984,5406,5338,5576
1604,"1111604","Monção",127194,130356,136476,154462,191148,178636,73474,55556,68850,35190,33388,25364,34544,32878,28968,30328,28288,26384,19584,19346,18802,18598,26996,24310,24752,24854,24208,26044,23358,23154,24310
1605,"1111605","Paredes de Coura",39814,40834,42704,48348,59806,55896,25704,19414,24106,22474,21284,16218,22032,20944,18530,19380,15266,14246,10574,8942,8704,8602,12444,11220,11424,11458,11152,12036,10778,10676,11254
1606,"1111606","Ponte da Barca",73916,75752,79288,89726,111044,103802,43758,33082,40970,24820,23562,17918,24378,23154,20468,21420,17170,16014,11866,10268,9996,9894,14314,12886,13124,13192,12852,13804,12376,12274,12920
1607,"1111607","Ponte de Lima",227800,233478,244392,276624,342244,319940,143446,108460,134402,113492,107644,82008,111384,106012,93602,97954,90984,84864,63002,62118,60316,59602,86530,77928,79424,79628,77690,83470,74936,74256,78030
1608,"1111608","Valença",43758,44846,46920,53108,65688,61404,28798,21794,26996,27064,25704,19550,26588,25262,22338,23392,22168,20672,15334,15402,14960,14756,21420,19312,19686,19754,19278,20706,18530,18360,19346
1609,"1111609","Viana do Castelo",122706,125732,131648,148954,184348,172312,79492,60078,74426,70550,66912,50932,69258,65858,58106,60826,55590,51850,38488,37366,36346,35904,52122,46920,47838,47974,46784,50286,45118,44710,46954
1610,"1111610","Vila Nova de Cerveira",38726,39678,41548,47022,58208,54400,22508,17034,21114,11288,10676,8126,11050,10506,9282,9724,8534,8024,5950,5644,5508,5440,7888,7106,7242,7276,7072,7582,6834,6732,7140
301,"1120301","Amares",59840,61336,64192,72658,89896,84014,38216,28900,35836,32164,30532,23222,31586,30056,26486,27778,25364,23698,17612,17102,16558,16388,23834,21420,21862,21930,21386,22984,20638,20434,21454
302,"1120302","Barcelos",170238,174522,182614,206686,255782,239122,100470,75956,94112,55998,53108,40426,54978,52258,46172,48280,48042,44812,33320,34476,33456,33116,48042,43248,44098,44166,43112,46308,41582,41242,43282
303,"1120303","Braga",118184,121142,126820,143514,177548,165988,81158,61370,76058,87788,83266,63444,86122,81974,72386,75752,66402,61914,46002,43146,41888,41446,60180,54162,55216,55386,54026,58038,52088,51612,54264
306,"1120306","Esposende",46444,47600,49810,56372,69768,65212,28798,21794,26996,21352,20264,15436,20978,19890,17578,18428,16252,15198,11288,10676,10370,10268,14858,13328,13634,13668,13328,14348,12852,12750,13396
310,"1120310","Terras de Bouro",42058,43078,45118,51068,63172,59058,26078,19720,24412,19278,18292,13940,18904,17986,15878,16592,14688,13702,10132,9622,9350,9248,13396,12070,12274,12308,12002,12886,11560,11492,12036
313,"1120313","Vila Verde",180098,184586,193188,218654,270572,252926,113084,85510,105910,88400,83844,63886,86734,82586,72930,76296,68918,64260,47736,45934,44574,44132,64022,57630,58752,58922,57494,61778,55386,54910,57732
307,"1130307","Fafe",115464,118320,123862,140148,173468,162146,75616,57188,70822,69938,66368,50558,68714,65314,57664,60350,49538,46172,34272,30328,29410,29104,42262,38046,38794,38896,37944,40766,36584,36244,38114
308,"1130308","Guimarães",163642,167688,175508,198662,245854,229806,105842,80036,99144,93568,88774,67626,91834,87414,77180,80750,69326,64668,48008,44234,42976,42534,61676,55522,56610,56746,55386,59534,53414,52904,55624
309,"1130309","Póvoa de Lanhoso",94690,97070,101592,114954,142256,133008,59568,45016,55794,46784,44404,33796,45968,43656,38590,40358,32062,29920,22202,18972,18394,18224,26452,23800,24276,24344,23766,25500,22882,22712,23834
1314,"1131314","Santo Tirso",60248,61744,64634,73134,90508,84626,38182,28866,35802,31076,29478,22440,30532,29036,25602,26792,25364,23698,17612,17544,17068,16898,24480,22032,22474,22508,21998,23630,21182,20978,22066
1318,"1131318","Trofa",0,0,0,0,0,0,1700,1292,1564,7174,6834,5168,7038,6664,5916,6188,7616,7072,5304,6256,6052,5984,8704,7854,7990,8024,7820,8398,7514,7446,7820
311,"1130311","Vieira do Minho",73474,75310,78846,89250,110432,103224,44268,33456,41480,27982,26554,20196,27472,26112,23052,24140,19822,18496,13702,12036,11730,11594,16796,15130,15436,15436,15130,16218,14552,14382,15130
312,"1130312","Vila Nova de Famalicão",87210,89420,93602,105944,131070,122536,57290,43316,53720,53618,50830,38726,52666,50048,44234,46240,41548,38760,28764,27540,26792,26452,38420,34578,35258,35360,34476,37060,33252,32980,34646
314,"1130314","Vizela",0,0,0,0,0,0,2176,1632,2040,9282,8772,6664,9112,8670,7684,7990,8262,7684,5712,6086,5950,5882,8534,7684,7854,7888,7650,8228,7378,7344,7684
107,"1140107","Espinho",1734,1802,1870,2142,2618,2448,1190,884,1122,1190,1122,850,1156,1156,986,1054,1156,1088,816,884,816,816,1190,1088,1088,1122,1088,1190,1054,1020,1088
1304,"1141304","Gondomar",37128,38012,39814,45084,55760,52156,23562,17816,22100,19448,18428,14076,19108,18156,16082,16762,16762,15606,11594,12036,11662,11526,16762,15096,15368,15402,15062,16150,14484,14382,15062
1306,"1141306","Maia",24854,25466,26656,30158,37298,34884,14654,11084,13736,8160,7752,5882,8024,7616,6698,7106,8840,8228,6086,7310,7072,7004,10166,9180,9350,9350,9146,9792,8806,8704,9180
1308,"1141308","Matosinhos",15844,16252,17000,19210,23800,22270,9248,7004,8670,4726,4488,3400,4624,4386,3876,4080,4148,3910,2856,3026,2958,2924,4250,3808,3910,3876,3808,4114,3672,3638,3842
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,102,204,204,204,272,238,238,238,238,272,238,238,272
1313,"1141313","Póvoa de Varzim",17816,18292,19142,21692,26792,25058,10438,7888,9792,5542,5270,3978,5440,5168,4590,4760,5134,4794,3570,3842,3740,3672,5338,4828,4896,4896,4794,5134,4590,4590,4794
1315,"1141315","Valongo",17000,17408,18258,20638,25568,23902,10438,7888,9792,7446,7072,5372,7310,6936,6188,6426,10132,9452,7004,9112,8840,8772,12716,11458,11696,11730,11424,12308,11016,10914,11458
1316,"1141316","Vila do Conde",34544,35394,37060,41956,51918,48552,19754,14926,18496,8636,8194,6222,8466,8058,7140,7480,8908,8296,6154,7208,6970,6902,9996,9044,9180,9180,8976,9690,8670,8602,9010
1317,"1141317","Vila Nova de Gaia",36414,37332,39066,44200,54706,51170,23460,17714,21964,20434,19380,14790,20094,19108,16864,17646,16830,15742,11662,11764,11390,11288,16388,14722,15028,15062,14722,15776,14178,14042,14756
1301,"1151301","Amarante",111554,114342,119714,135456,167620,156672,76466,57834,71604,82144,77894,59330,80682,76704,67728,70856,67694,63104,46852,47158,45764,45288,65722,59126,60316,60486,58990,63376,56882,56372,59228
1302,"1151302","Baião",64362,65960,69054,78132,96696,90406,42092,31824,39440,38794,36788,28050,38114,36210,31960,33490,28934,26996,20094,18564,18020,17850,25908,23324,23766,23834,23256,24990,22406,22202,23358
