"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,46.4,32.5,30.2,69.6,65,65,53.4,53.4,34.8,37.1,27.8,25.5,20.9,16.2,11.6,11.6,13.9,11.6,13.9,11.6,13.9,13.9,13.9,11.6,11.6
1602,"1111602","Caminha",707.6,236.6,348,271.4,522,452.4,524.3,355,324.8,278.4,257.5,259.8,215.8,213.4,139.2,150.8,99.8,92.8,78.9,32.5,25.5,23.2,25.5,25.5,25.5,23.2,30.2,27.8,25.5,23.2,20.9
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",65,20.9,32.5,25.5,46.4,41.8,123,83.5,76.6,139.2,129.9,129.9,106.7,106.7,69.6,76.6,55.7,53.4,46.4,32.5,25.5,23.2,25.5,25.5,25.5,23.2,30.2,27.8,25.5,23.2,20.9
1605,"1111605","Paredes de Coura",65,20.9,32.5,25.5,46.4,41.8,229.7,157.8,143.8,301.6,278.4,283,234.3,232,150.8,164.7,118.3,111.4,95.1,62.6,48.7,46.4,51,48.7,53.4,46.4,60.3,58,53.4,48.7,46.4
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",2120.5,707.6,1046.3,812,1568.3,1357.2,1508,1020.8,939.6,742.4,686.7,693.7,573,573,371.2,403.7,322.5,303.9,257.5,225,171.7,162.4,181,174,185.6,164.7,208.8,199.5,185.6,167,157.8
1608,"1111608","Valença",97.4,32.5,48.7,37.1,71.9,60.3,229.7,157.8,143.8,278.4,257.5,259.8,215.8,213.4,139.2,150.8,160.1,150.8,129.9,176.3,134.6,127.6,141.5,136.9,146.2,129.9,164.7,157.8,143.8,129.9,123
1609,"1111609","Viana do Castelo",1447.7,482.6,714.6,552.2,1069.5,925.7,953.5,645,593.9,394.4,364.2,368.9,303.9,303.9,197.2,215.8,146.2,139.2,118.3,62.6,48.7,46.4,51,48.7,53.4,46.4,60.3,58,53.4,48.7,46.4
1610,"1111610","Vila Nova de Cerveira",547.5,181,269.1,208.8,403.7,350.3,308.6,208.8,190.2,69.6,65,65,53.4,53.4,34.8,37.1,20.9,20.9,16.2,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",32.5,11.6,16.2,11.6,25.5,20.9,32.5,20.9,18.6,23.2,20.9,20.9,18.6,18.6,11.6,11.6,55.7,53.4,46.4,111.4,83.5,81.2,90.5,88.2,92.8,81.2,104.4,99.8,92.8,83.5,78.9
302,"1120302","Barcelos",2572.9,858.4,1266.7,983.7,1902.4,1647.2,1524.2,1032.4,948.9,440.8,406,413,341,338.7,220.4,239,146.2,139.2,118.3,32.5,25.5,23.2,25.5,25.5,25.5,23.2,30.2,27.8,25.5,23.2,20.9
303,"1120303","Braga",322.5,106.7,160.1,123,236.6,206.5,308.6,208.8,190.2,232,215.8,218.1,178.6,178.6,116,125.3,69.6,65,55.7,0,0,0,0,0,0,0,0,0,0,0,0
306,"1120306","Esposende",1222.6,408.3,603.2,466.3,902.5,781.8,598.6,408.3,373.5,23.2,20.9,20.9,18.6,18.6,11.6,11.6,7,7,4.6,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",417.6,139.2,206.5,160.1,308.6,269.1,568.4,385.1,355,559.1,515,522,431.5,429.2,278.4,301.6,204.2,192.6,162.4,81.2,60.3,58,65,62.6,67.3,58,74.2,71.9,67.3,58,55.7
307,"1130307","Fafe",32.5,11.6,16.2,11.6,25.5,20.9,92.8,62.6,58,116,106.7,109,88.2,90.5,58,62.6,48.7,46.4,39.4,32.5,25.5,23.2,25.5,25.5,25.5,23.2,30.2,27.8,25.5,23.2,20.9
308,"1130308","Guimarães",97.4,32.5,48.7,37.1,71.9,60.3,92.8,62.6,58,69.6,65,65,53.4,53.4,34.8,37.1,62.6,60.3,51,97.4,71.9,69.6,76.6,74.2,78.9,69.6,90.5,85.8,78.9,71.9,67.3
309,"1130309","Póvoa de Lanhoso",32.5,11.6,16.2,11.6,25.5,20.9,16.2,11.6,9.3,0,0,0,0,0,0,0,7,7,4.6,16.2,11.6,11.6,13.9,11.6,13.9,11.6,13.9,13.9,13.9,11.6,11.6
1314,"1131314","Santo Tirso",642.6,215.8,315.5,245.9,475.6,410.6,368.9,250.6,229.7,92.8,85.8,85.8,71.9,71.9,46.4,51,41.8,39.4,32.5,32.5,25.5,23.2,25.5,25.5,25.5,23.2,30.2,27.8,25.5,23.2,20.9
1318,"1131318","Trofa",0,0,0,0,0,0,92.8,62.6,58,139.2,129.9,129.9,106.7,106.7,69.6,76.6,41.8,39.4,32.5,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",32.5,11.6,16.2,11.6,25.5,20.9,16.2,11.6,9.3,0,0,0,0,0,0,0,7,7,4.6,16.2,11.6,11.6,13.9,11.6,13.9,11.6,13.9,13.9,13.9,11.6,11.6
312,"1130312","Vila Nova de Famalicão",515,171.7,252.9,197.2,380.5,329.4,308.6,208.8,190.2,92.8,85.8,85.8,71.9,71.9,46.4,51,34.8,32.5,27.8,16.2,11.6,11.6,13.9,11.6,13.9,11.6,13.9,13.9,13.9,11.6,11.6
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",707.6,236.6,348,271.4,522,452.4,475.6,324.8,297,208.8,192.6,194.9,162.4,160.1,104.4,113.7,99.8,92.8,78.9,81.2,60.3,58,65,62.6,67.3,58,74.2,71.9,67.3,58,55.7
1306,"1141306","Maia",160.1,53.4,78.9,60.3,118.3,102.1,76.6,51,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",32.5,11.6,16.2,11.6,25.5,20.9,16.2,11.6,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",287.7,97.4,143.8,109,215.8,185.6,139.2,95.1,85.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",97.4,32.5,48.7,37.1,71.9,60.3,46.4,32.5,30.2,0,0,0,0,0,0,0,7,7,4.6,16.2,11.6,11.6,13.9,11.6,13.9,11.6,13.9,13.9,13.9,11.6,11.6
1316,"1141316","Vila do Conde",417.6,139.2,206.5,160.1,308.6,269.1,322.5,218.1,201.8,185.6,171.7,174,143.8,143.8,92.8,102.1,55.7,53.4,46.4,0,0,0,0,0,0,0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",355,118.3,174,134.6,262.2,227.4,278.4,187.9,174,162.4,150.8,150.8,125.3,125.3,81.2,88.2,62.6,60.3,51,32.5,25.5,23.2,25.5,25.5,25.5,23.2,30.2,27.8,25.5,23.2,20.9
1301,"1151301","Amarante",225,76.6,111.4,85.8,167,143.8,229.7,157.8,143.8,185.6,171.7,174,143.8,143.8,92.8,102.1,83.5,78.9,67.3,62.6,48.7,46.4,51,48.7,53.4,46.4,60.3,58,53.4,48.7,46.4
1302,"1151302","Baião",0,0,0,0,0,0,62.6,41.8,37.1,92.8,85.8,85.8,71.9,71.9,46.4,51,48.7,46.4,39.4,46.4,37.1,34.8,39.4,37.1,39.4,34.8,44.1,41.8,39.4,34.8,34.8
