"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.066,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067
1602,"1111602","Caminha",0.073,0.073,0.073,0.073,0.072,0.072,0.071,0.071,0.071,0.073,0.162,0.07,0.07,0.16,0.129,0.208,0.205,0.069,0.069,0.07,0.068,0.068,0.084,0.105,0.067,0.067,0.15,0.2,0.067,0.199,0.067
1603,"1111603","Melgaço",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.116,0.207,0.07,0.07,0.197,0.149,0.209,0.207,0.069,0.069,0.118,0.069,0.069,0.137,0.116,0.068,0.068,0.184,0.203,0.068,0.203,0.068
1604,"1111604","Monção",0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.06,0.06,0.06,0.091,0.059,0.059,0.073,0.059,0.175,0.128,0.058,0.058,0.058,0.058,0.058,0.058,0.061,0.058,0.058,0.083,0.175,0.058,0.175,0.058
1605,"1111605","Paredes de Coura",0.094,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.169,0.17,0.092,0.096,0.17,0.169,0.17,0.17,0.092,0.091,0.131,0.09,0.089,0.156,0.155,0.087,0.087,0.156,0.156,0.087,0.156,0.087
1606,"1111606","Ponte da Barca",0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.056,0.116,0.054,0.054,0.112,0.092,0.162,0.161,0.054,0.054,0.056,0.054,0.054,0.056,0.054,0.054,0.054,0.102,0.163,0.054,0.163,0.054
1607,"1111607","Ponte de Lima",0.153,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.221,0.221,0.104,0.159,0.221,0.22,0.217,0.213,0.103,0.102,0.185,0.102,0.102,0.203,0.196,0.101,0.102,0.197,0.197,0.102,0.197,0.102
1608,"1111608","Valença",0.106,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.16,0.16,0.053,0.053,0.16,0.16,0.16,0.16,0.053,0.053,0.106,0.053,0.053,0.16,0.106,0.053,0.053,0.16,0.16,0.053,0.16,0.053
1609,"1111609","Viana do Castelo",0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.149,0.183,0.061,0.061,0.183,0.123,0.183,0.183,0.061,0.061,0.18,0.061,0.061,0.182,0.159,0.061,0.061,0.182,0.182,0.061,0.182,0.061
1610,"1111610","Vila Nova de Cerveira",0.102,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.181,0.181,0.068,0.079,0.181,0.181,0.181,0.181,0.066,0.066,0.122,0.067,0.066,0.177,0.162,0.067,0.067,0.178,0.177,0.067,0.177,0.067
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",0.066,0.066,0.066,0.066,0.066,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.064,0.187,0.086,0.063,0.063,0.063,0.063,0.062,0.062,0.062,0.062,0.062,0.062,0.186,0.062,0.186,0.062
303,"1120303","Braga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.15,0.05,0.05,0.15,0.1,0.05,0.05,0.15,0.15,0.05,0.15,0.05
306,"1120306","Esposende",0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.197,0.199,0.073,0.073,0.199,0.198,0.198,0.198,0.072,0.072,0.138,0.072,0.071,0.194,0.195,0.072,0.072,0.199,0.199,0.072,0.199,0.072
310,"1120310","Terras de Bouro",0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.105,0.054,0.054,0.105,0.089,0.162,0.156,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.102,0.162,0.054,0.162,0.054
313,"1120313","Vila Verde",0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.178,0.179,0.06,0.06,0.179,0.178,0.176,0.175,0.058,0.058,0.124,0.058,0.058,0.173,0.13,0.057,0.057,0.172,0.172,0.057,0.172,0.057
307,"1130307","Fafe",0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.184,0.184,0.061,0.061,0.184,0.184,0.184,0.185,0.062,0.062,0.123,0.062,0.062,0.186,0.186,0.062,0.062,0.186,0.186,0.062,0.186,0.062
308,"1130308","Guimarães",0.101,0.101,0.101,0.101,0.099,0.099,0.098,0.098,0.098,0.144,0.216,0.098,0.098,0.212,0.186,0.22,0.217,0.098,0.098,0.111,0.098,0.098,0.158,0.218,0.098,0.098,0.217,0.217,0.098,0.217,0.098
309,"1130309","Póvoa de Lanhoso",0.059,0.059,0.059,0.059,0.058,0.058,0.058,0.059,0.059,0.059,0.082,0.059,0.059,0.065,0.059,0.175,0.106,0.055,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.159,0.053,0.13,0.053
1314,"1131314","Santo Tirso",0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.155,0.182,0.098,0.098,0.182,0.187,0.189,0.188,0.094,0.093,0.123,0.093,0.093,0.16,0.18,0.097,0.098,0.179,0.179,0.098,0.178,0.097
1318,"1131318","Trofa",0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.058,0.058,0.058,0.058,0.058,0.058,0.059,0.06,0.06,0.06,0.06,0.061,0.061,0.061,0.061,0.061,0.06,0.06,0.06,0.06,0.06
311,"1130311","Vieira do Minho",0.083,0.083,0.083,0.083,0.083,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.079,0.075,0.073,0.073,0.072,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
312,"1130312","Vila Nova de Famalicão",0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.059,0.059,0.059,0.059,0.059,0.058,0.058,0.052,0.052,0.052,0.052,0.052,0.052
314,"1130314","Vizela",0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.094,0.085,0.085,0.085,0.085,0.085,0.085,0.085
107,"1140107","Espinho",0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.067,0.067,0.068,0.069,0.07,0.071,0.071,0.071,0.071,0.071,0.072,0.072,0.072,0.072,0.072,0.072,0.071
1304,"1141304","Gondomar",0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059
1306,"1141306","Maia",0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.056,0.055,0.056
1308,"1141308","Matosinhos",0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.056,0.056,0.056,0.056,0.056,0.057,0.057,0.057,0.057,0.056,0.056,0.056,0.056,0.056,0.056,0.057,0.057,0.057,0.057
1312,"1141312","Porto",0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
1313,"1141313","Póvoa de Varzim",0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.066,0.067,0.067,0.067,0.067,0.068,0.067,0.067,0.067,0.068,0.068,0.067,0.066,0.066,0.067,0.067,0.067,0.067
1315,"1141315","Valongo",0.096,0.096,0.096,0.096,0.095,0.095,0.095,0.096,0.095,0.095,0.095,0.095,0.095,0.095,0.094,0.093,0.092,0.091,0.09,0.089,0.089,0.09,0.09,0.091,0.091,0.092,0.091,0.091,0.091,0.091,0.09
1316,"1141316","Vila do Conde",0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.086,0.085,0.084,0.083,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.08,0.08,0.08
1317,"1141317","Vila Nova de Gaia",0.07,0.07,0.07,0.07,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.07,0.071,0.071,0.072,0.073,0.075,0.075,0.075,0.075,0.076,0.076,0.076,0.077,0.077,0.078,0.078,0.078,0.078,0.078,0.078
1301,"1151301","Amarante",0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.068,0.068,0.068,0.068,0.068,0.066,0.067,0.067,0.067,0.067,0.067,0.066,0.066,0.067,0.067,0.066,0.065,0.065,0.065,0.065,0.065,0.065
1302,"1151302","Baião",0.081,0.079,0.079,0.079,0.079,0.079,0.08,0.081,0.081,0.081,0.081,0.079,0.081,0.081,0.081,0.081,0.081,0.079,0.079,0.08,0.078,0.078,0.079,0.079,0.076,0.075,0.075,0.075,0.075,0.075,0.075
304,"1150304","Cabeceiras de Basto",0.091,0.063,0.064,0.063,0.064,0.063,0.069,0.091,0.091,0.091,0.091,0.064,0.091,0.091,0.091,0.091,0.091,0.062,0.062,0.09,0.062,0.081,0.089,0.089,0.062,0.061,0.088,0.088,0.062,0.088,0.061
106,"1150106","Castelo de Paiva",0.09,0.071,0.071,0.071,0.071,0.071,0.071,0.09,0.09,0.09,0.09,0.071,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.09,0.07,0.075,0.088,0.088,0.07,0.07,0.088,0.088,0.07,0.088,0.07
305,"1150305","Celorico de Basto",0.144,0.097,0.097,0.097,0.097,0.097,0.097,0.115,0.115,0.162,0.163,0.097,0.163,0.164,0.163,0.164,0.165,0.096,0.096,0.133,0.096,0.096,0.171,0.172,0.095,0.095,0.153,0.172,0.095,0.172,0.095
1804,"1151804","Cinfães",0.117,0.095,0.095,0.095,0.095,0.095,0.095,0.105,0.095,0.139,0.139,0.095,0.126,0.14,0.14,0.141,0.142,0.093,0.093,0.117,0.092,0.092,0.141,0.141,0.091,0.09,0.127,0.139,0.091,0.139,0.09
1303,"1151303","Felgueiras",0.112,0.061,0.072,0.061,0.071,0.061,0.084,0.111,0.111,0.111,0.111,0.072,0.111,0.112,0.113,0.113,0.107,0.058,0.057,0.102,0.055,0.095,0.089,0.09,0.054,0.054,0.091,0.091,0.06,0.091,0.054
1305,"1151305","Lousada",0.087,0.085,0.085,0.085,0.085,0.085,0.085,0.086,0.086,0.086,0.086,0.085,0.086,0.086,0.086,0.086,0.086,0.084,0.084,0.084,0.084,0.084,0.085,0.085,0.083,0.083,0.085,0.085,0.083,0.085,0.083
1307,"1151307","Marco de Canaveses",0.082,0.077,0.077,0.077,0.077,0.077,0.077,0.082,0.08,0.082,0.082,0.077,0.082,0.082,0.082,0.082,0.082,0.077,0.077,0.081,0.077,0.076,0.082,0.082,0.076,0.076,0.081,0.081,0.076,0.081,0.076
1705,"1151705","Mondim de Basto",0.085,0.08,0.08,0.08,0.08,0.08,0.08,0.085,0.085,0.084,0.084,0.079,0.084,0.084,0.084,0.084,0.084,0.079,0.079,0.084,0.079,0.079,0.084,0.084,0.078,0.078,0.083,0.084,0.078,0.084,0.078
1309,"1151309","Paços de Ferreira",0.118,0.113,0.113,0.113,0.113,0.113,0.115,0.117,0.117,0.117,0.117,0.113,0.117,0.117,0.117,0.117,0.118,0.113,0.113,0.118,0.113,0.113,0.118,0.119,0.113,0.112,0.118,0.118,0.112,0.118,0.112
1310,"1151310","Paredes",0.119,0.104,0.104,0.104,0.104,0.104,0.109,0.118,0.118,0.118,0.118,0.105,0.119,0.119,0.119,0.119,0.119,0.105,0.105,0.12,0.106,0.106,0.12,0.12,0.106,0.106,0.121,0.121,0.106,0.121,0.106
1311,"1151311","Penafiel",0.079,0.063,0.063,0.063,0.063,0.063,0.063,0.079,0.079,0.079,0.079,0.063,0.079,0.079,0.079,0.079,0.079,0.063,0.063,0.077,0.063,0.063,0.077,0.076,0.062,0.062,0.074,0.074,0.062,0.074,0.062
1813,"1151813","Resende",0.105,0.081,0.081,0.081,0.081,0.081,0.093,0.105,0.105,0.105,0.105,0.081,0.105,0.105,0.105,0.105,0.105,0.081,0.08,0.104,0.08,0.104,0.104,0.104,0.079,0.079,0.104,0.104,0.079,0.104,0.079
1709,"1151709","Ribeira de Pena",0.098,0.08,0.08,0.08,0.08,0.08,0.08,0.099,0.09,0.099,0.099,0.08,0.099,0.099,0.099,0.099,0.099,0.08,0.08,0.089,0.079,0.079,0.097,0.097,0.078,0.078,0.097,0.097,0.078,0.097,0.078
104,"1160104","Arouca",0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.099,0.099,0.099,0.1,0.1,0.101,0.101,0.1,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.1
113,"1160113","Oliveira de Azeméis",0.085,0.085,0.085,0.085,0.085,0.085,0.086,0.086,0.086,0.086,0.086,0.086,0.087,0.087,0.087,0.088,0.088,0.089,0.089,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
