"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0.04,0.04,0.04,0.04,0.04,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.04,0.041,0.041,0.041,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
1602,"1111602","Caminha",0.074,0.074,0.074,0.074,0.073,0.072,0.071,0.071,0.071,0.072,0.153,0.07,0.07,0.149,0.123,0.208,0.203,0.068,0.068,0.068,0.067,0.067,0.074,0.101,0.067,0.067,0.141,0.201,0.067,0.201,0.067
1603,"1111603","Melgaço",0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.106,0.186,0.063,0.063,0.149,0.133,0.186,0.186,0.062,0.062,0.083,0.062,0.062,0.101,0.091,0.062,0.062,0.149,0.185,0.062,0.185,0.062
1604,"1111604","Monção",0.061,0.061,0.061,0.061,0.061,0.06,0.06,0.06,0.06,0.059,0.09,0.059,0.059,0.073,0.059,0.175,0.128,0.059,0.059,0.059,0.059,0.059,0.058,0.061,0.058,0.058,0.083,0.175,0.058,0.175,0.058
1605,"1111605","Paredes de Coura",0.105,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.225,0.228,0.103,0.115,0.228,0.228,0.228,0.232,0.103,0.103,0.188,0.103,0.103,0.232,0.232,0.103,0.103,0.232,0.232,0.103,0.232,0.103
1606,"1111606","Ponte da Barca",0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.11,0.054,0.054,0.108,0.077,0.162,0.16,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.096,0.162,0.054,0.162,0.054
1607,"1111607","Ponte de Lima",0.162,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.232,0.232,0.109,0.167,0.232,0.232,0.232,0.232,0.109,0.109,0.208,0.109,0.109,0.232,0.232,0.109,0.109,0.232,0.232,0.109,0.232,0.109
1608,"1111608","Valença",0.106,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.16,0.16,0.053,0.053,0.16,0.16,0.16,0.16,0.053,0.053,0.106,0.053,0.053,0.16,0.106,0.053,0.053,0.16,0.16,0.053,0.16,0.053
1609,"1111609","Viana do Castelo",0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.221,0.221,0.074,0.074,0.221,0.147,0.221,0.221,0.074,0.074,0.221,0.074,0.074,0.221,0.221,0.074,0.074,0.221,0.221,0.074,0.221,0.074
1610,"1111610","Vila Nova de Cerveira",0.118,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.192,0.192,0.069,0.086,0.192,0.192,0.192,0.192,0.069,0.069,0.13,0.069,0.069,0.192,0.172,0.069,0.069,0.192,0.19,0.069,0.19,0.069
