"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",17710.6,18112.1,18899.3,17053.3,14201.1,11401.4,3524.1,5025.4,7178,6142,6176.6,4877.1,3364.6,3269.5,2979.4,2895.4,3071.6,3716.1,4228.4,4395,4022.4,3318.7,2574.3,2549.5,2532,2465.3,2388.9,2426.3,2411.4,2393.7,2338.2
1602,"1111602","Caminha",2630.9,2536.4,2550.5,2237.8,1832.2,1413.9,743.4,1101.8,1489.9,142.8,311.5,118.9,93.9,210.4,133.5,217.1,808.9,338.1,363.2,461.1,422.3,363.4,350,422.7,263,250.5,528.8,659.9,191.6,499.4,163.1
1603,"1111603","Melgaço",619,640.9,669.7,587.8,464,350,246.3,380,518.2,898.1,1650.9,429.1,292.6,842.6,566.5,792.9,488.7,195,238.7,297.9,153,127.2,179.2,149.4,83,80.9,240.1,241.2,71.3,217.4,69.6
1604,"1111604","Monção",596.8,611,619.7,549,435.9,349.8,680.3,1016.6,1390.8,3773,5786.8,3083.2,2211.3,2666,1980.2,5652.6,4943.8,2794.9,3209.5,3510.5,3198.8,2646.3,2041.9,2160.7,1925.1,1888.7,2618.7,5315,1607,4601.1,1452.5
1605,"1111605","Paredes de Coura",9848.3,9330.2,9471.4,8516.5,7261.3,5743.6,5770.4,8018.3,10342.1,28488.1,28751,13711.7,11363.6,19278.1,18051,17588.1,17856.1,11516.5,12214.7,16268.5,10518.4,9000,12707.4,12622,6764.3,6621.9,11456.4,11118.1,5848,9891.6,5344.5
1606,"1111606","Ponte da Barca",86.4,90.4,95.8,80.1,60.7,45.1,162.2,231.4,349.4,762.8,1609.6,642.1,497.8,987.6,762.2,1296.5,1961.5,786.3,874.9,1730.4,1582.2,1352.6,1132,1055.8,1028.8,984.3,1775,2710.5,838.6,2333.9,761.8
1607,"1111607","Ponte de Lima",18130.4,11814.6,11959,10474.1,8683.4,6674.8,5090.6,7491.3,10197.1,29987.7,30904.8,11717.1,13033.3,16790.5,15780.5,15133.3,16661.5,9944,10664.2,20396.6,10594.6,9055.2,13871.6,13292.9,6651.2,6493.6,12211.3,11935.8,6022.3,11092.6,5624.9
1608,"1111608","Valença",4361.2,2184.1,2213.4,1960.4,1650.3,1277.1,1051.5,1464.9,1849.4,7383,7457.2,2024,1479,4305.3,4010.1,3881.7,3363.5,1360.1,1497.5,2599.7,1180.4,990.7,2293.1,1527.5,729,711.3,2091.2,2063,648.6,1887.4,604.7
1609,"1111609","Viana do Castelo",4951.1,4864.2,4816.8,4257.6,3442.4,2665.7,1706.3,2454.1,3356.1,8485,10794.2,2811.1,1926,5208.8,3301.3,4703.8,5303.7,2197.1,2381.1,7084.1,2223.6,1920.9,4430.3,3816.8,1451.4,1412,4082.4,4194.2,1405.7,4150.7,1358.3
1610,"1111610","Vila Nova de Cerveira",2155.5,1383.4,1381.2,1221.9,1026.5,787.8,684.2,1006.9,1354,8314.8,8495.9,2621.1,2284.3,4887.9,4565.3,4434.5,2687.8,1239,1351.8,1953.1,1007.7,824,1668.3,1505.7,603.4,598.4,1544.5,1545.4,580.2,1499,549.3
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",201701.6,198642.6,193757.5,197585.3,192830,187626.9,216082,225635.1,239231.9,226344.4,228459.9,206346.8,175616,162402.9,153000.1,440693.6,198148.9,164374.4,158511.2,154073.1,152361.3,137714.7,115001.2,114743.7,113480.9,112377.6,111086,346875.4,121216.2,358873.3,117790.1
303,"1120303","Braga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11318.9,39037.9,12568.9,11158.5,27171.5,17959.5,8850.3,8678.7,25546.2,25983.1,8833.3,26016.2,8554.4
306,"1120306","Esposende",42392.1,41576.1,40720.6,39815,36952.9,33509.6,32643,37515.5,41889.9,141152,141645,51962.5,50951.6,131928.3,128435.5,128599.4,101714.6,39195.6,36059.4,58955.6,30614.6,29068.8,70827.5,70342.9,25615.1,25155,68486.9,69509.6,26044.3,69616.1,24682.1
310,"1120310","Terras de Bouro",1949,2089.5,2216.8,1943.3,1552.1,1202.6,361.5,537.9,773.3,472.9,933.2,371.7,259.6,494.2,381.3,691.5,1665.9,691.3,800.5,1401.7,1313.8,1125.4,890.3,868.7,854.8,821.5,1505.8,2281,723.3,2049.4,674.8
313,"1120313","Vila Verde",44013.7,44143.5,44879.5,44339.2,41691,39202,17213.2,21438.9,26372.1,60619.1,60349.5,17835.9,13909.8,40229.5,38089.4,35954.3,48775.9,17993.2,18689.7,46798.3,20956.7,19419.5,50618.8,37697.7,15957.5,15543.9,45280.4,44095.6,13953.9,39811.7,12976.5
307,"1130307","Fafe",24503.2,26401,26654.3,26174.5,23168.7,20986.6,21158.3,23656.2,27194.6,79552.9,76734.6,28468.1,29825.4,91603.2,91723.7,90928.9,83938.4,28223.8,27539.4,45400,22402.7,22177.8,62052.7,59673,18911.5,17966.4,50787.4,45277.8,13057,32661.4,10849.7
308,"1130308","Guimarães",95497.4,96153.3,95450.3,92042,84236,75163.3,63328,70961.4,77169.2,108275.9,159808.1,69184.4,61455.1,126552.3,107597.4,123101.3,58714.8,29843,30247.6,21072.5,17328.5,15387.6,20090.9,27376,12113.9,11954.6,25836.6,26383.1,12157.6,26811.2,12042.2
309,"1130309","Póvoa de Lanhoso",8129.4,8278.4,8428,7638,6296.8,5094.2,4770.6,6451,8351.9,11426,15813.4,10246.3,8385.3,8959.7,7650,22008.4,11133.7,6479.4,6584.8,5453.1,5158.5,4656.1,3889.7,3833.1,3742.8,3656.9,3546.2,10513.5,3456.1,8196.4,3320.7
1314,"1131314","Santo Tirso",98796.1,100311.3,98071.9,97193.6,91817.8,86553.7,57773,61843.2,66083.7,55366.2,64549.8,32457.1,28099,48813.9,48214.9,47640.6,43018.6,23665.6,22299.8,27134.2,20113,18781.6,28048.9,31469.3,16556.4,16449.2,29593.4,30152.4,16943.8,29893.4,15834.9
1318,"1131318","Trofa",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,15196.6,17965.4,17811.2,28458.8,27591.3,27763.7,25349.3,25224.3,24671.2,24290.4,23437.6,23770.9,24028.9,23302.8,23037.6
