"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",2868.1,2792.5,2944.6,2564.6,3648.9,2461.4,2867.1,2078.5,1938.3,2409.7,1576.3,1423.3,2491.9,813.8,1025.9,886.3,959.2,965.9,780.1,935.4,637.1,862.1,672.6,784.2,573.4,765.9,797.2,570.7,663.6,489,763.6
1602,"1111602","Caminha",271.5,260.8,280.9,272.2,424.4,305.1,381.1,304.5,310.9,463.6,757.2,330.6,712.6,466.3,481.9,602.2,628.6,223.6,172.9,214.5,133.7,171.6,130.2,231.6,104.2,139,362,350.2,121.5,310.6,158.8
1603,"1111603","Melgaço",15,10.9,17,7.2,20.1,0.7,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",47.4,42.1,50.6,41.1,76,42.8,55.5,39.4,39.8,65.5,58.8,24,83.3,1.2,10.9,18.4,23.6,22.9,16.4,33.1,13.2,32.4,20.1,28.4,15.2,27.2,44,64.8,29.6,65.1,40.9
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,41.2,203.7,297.2,418.8,312.2,324.4,713.9,384.4,628,1078.2,1259,499.1,674.4,1294.3,929.1,579.1,797.5,676.6
1606,"1111606","Ponte da Barca",1298.5,1261.9,1333.4,1171.7,1631.3,1114.5,1280.9,932,866.4,1111.7,1508.1,655.4,1152.4,819.3,848.5,1547,1719.8,621.6,532.6,726.9,503,729.5,649.5,728.7,530,716.4,1444.8,1624.4,625.8,1392.3,718.3
1607,"1111607","Ponte de Lima",24686.7,16194,17110.5,14882.6,20456.7,13585.8,15496.1,11112.7,10279.3,26713.3,17504.6,7369,19028.4,10401.5,14728.6,14197.3,16900.2,8717.4,7918.7,19915.6,8128.3,11837.2,21545.4,24813.2,8955.1,11908.6,24654,17783.5,10071.2,14940.9,11384
1608,"1111608","Valença",136.5,58.6,73.2,45.6,77.2,23.4,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",3763.2,3654.8,3875.1,3473.2,4991.6,3432.5,4122.2,3107.5,3042.8,9949.4,8387.9,2741.6,5134.6,5455.2,4697.4,6014.6,6616.4,2260.4,1846.9,6672.1,1645.1,2209,5246.1,5531,1545.6,1958.1,6461.3,4628.1,1697.1,3930,1998.7
1610,"1111610","Vila Nova de Cerveira",50.8,30.1,35.2,25.3,39.3,17.8,23.5,13,8.8,35.8,8.2,0,0,0,11.7,25.5,48.5,28.2,29.8,85.8,37.9,60.3,130,155.8,46.9,60.7,184.6,131.2,53.7,113.2,63
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",827.2,793.9,854.1,847.8,1393.5,1038.5,1373.4,1124.3,1203,1630.8,1207.8,1259,2693.7,808.3,1031.9,2475.4,1164.1,961.4,792.5,958.5,635.1,908.3,709.7,845.8,608,829,859.3,1883.7,705.4,1542.5,827.3
303,"1120303","Braga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,"1120306","Esposende",105.6,95.1,111.9,99.8,182.6,118.6,167.2,129,133.9,561.5,396.8,124.4,299.3,152.7,210.2,122.4,159,75.2,53.5,147.9,33.8,58.3,84.9,118.6,24.2,40.5,134.6,99.4,49.2,100.4,61.4
310,"1120310","Terras de Bouro",542.9,527.5,557.5,495.2,703.3,478.9,565.3,420.8,404.9,519.5,692.4,342.6,633.5,398.1,415.9,630.4,601.4,205.5,159.5,178.8,112.6,147.1,102.5,121.1,86.8,120.4,231.4,268.5,107.7,236.9,126.6
313,"1120313","Vila Verde",2751.1,2672,2825.4,2426.2,3303,2147.2,2045.4,1294.3,1266.9,4132.8,2570.1,718.7,1137.8,1196.7,1606.6,1462.9,1628.4,582.8,504.4,1421.2,469.8,680.6,1707.5,1530.4,484.9,655.6,1997.4,1440.9,557.2,1216.2,644.2
307,"1130307","Fafe",1543,1498.8,1584.9,1379.3,1916.8,1273.1,1442.2,1036,961.6,3532.4,2303.9,655.3,1178.4,896.6,1050.8,745.2,454.6,153.4,65.6,50.4,0,0,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",182.7,123.1,212.9,135.6,375.2,149.2,236,175.1,211,590.2,494.9,200.2,750.6,192.7,306.5,167.6,223.3,197.5,151.6,274.4,106.2,222.5,232.4,461.7,110,149.6,422.7,319.8,147.4,271.2,232
309,"1130309","Póvoa de Lanhoso",3682.2,3586.2,3781,3504.4,5178.4,3622.4,4489.8,3467.8,3488.3,4503.2,4305.3,3274.4,6043.4,2272.6,2223.6,5305.4,3219.1,1580.6,1054.4,997.6,567.2,551.8,275.1,321.7,240.2,323.9,332.9,709.6,268.4,520.8,316.4
