"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",664.6,591.5,500.8,542.2,498.5,547.2,474.5,452.5,458.6,570.7,373.7,436.7,320,199.4,231.1,211.2,297.5,251.1,244.1,335.4,317.7,212.8,214.4,253.8,295.4,292.8,262.8,239.6,205.8,165.6,254.1
1602,"1111602","Caminha",285.5,251.3,213.8,231.8,211.1,229,176.1,168.2,168.1,168.7,233.1,113.5,75.5,81.7,84.9,122.1,165.8,50.2,48.6,67.3,62.4,33.9,32.9,64,53.4,49.6,107.7,142.9,35.9,103.2,53.8
1603,"1111603","Melgaço",1245,1108.4,939.9,1019.5,924.7,1014.1,718.1,682.4,690.5,702,840.4,333.5,247.3,407,379.1,492.5,479.9,135.5,132.1,165.8,102.8,67.3,116.8,129.7,96.4,94.5,219.7,236.6,63.6,160.5,83.6
1604,"1111604","Monção",731.1,650.7,550.6,596,548.5,602.4,477,447.4,453.8,454.5,452.6,342.1,250.2,193.3,181.3,485.4,433.3,166.5,161.9,194.8,182.6,121.2,119.7,153.6,170.3,169,217.7,419.3,116.9,288.9,148.2
1605,"1111605","Paredes de Coura",756.5,657.8,558.1,604.5,556.6,609.6,543.4,517.2,523.6,1401.2,936.6,527.6,425.2,526,605.5,547.7,742.4,299.8,291.6,657.2,371.3,243.8,498.2,601.6,336.4,334.9,624,570.7,234.9,397.9,296.5
1606,"1111606","Ponte da Barca",285.4,253.3,214.8,232.8,214.5,231,213.5,203.4,206,297.9,415.2,225.1,158.9,188.7,162,291.9,410.1,119.1,115.8,163.7,151.8,97.8,97,115.5,138.2,136.4,226.4,345.6,99.3,244.4,126.4
1607,"1111607","Ponte de Lima",3036.7,1812.5,1537.9,1668,1537.3,1684.4,1361,1298,1314.3,2973.4,1944,1058.9,1170.7,995.6,1165.3,1049.9,1659.9,663.6,643.6,1925.8,948.3,623.6,1322.8,1584.8,878,876.3,1669,1529.2,623.2,1070.2,779.5
1608,"1111608","Valença",585,256.9,218.8,236.8,217.8,238.2,189.7,183.9,189,627,400.8,157,115.1,207.8,244.9,219.7,247.2,70.3,68.6,149.1,68.9,44.9,133,110.6,65,64.4,175.1,159,42.6,106.5,56.3
1609,"1111609","Viana do Castelo",2156.2,1910.2,1622.8,1762.7,1624,1808.1,1324.4,1258.5,1275.6,2459.2,1911,747.1,548.3,1044.4,810.7,1090.3,1492.8,419.9,410.5,1687.4,541.6,355.6,1022.2,1140,493.4,470.5,1327.9,1203.6,332.6,828.9,424.8
1610,"1111610","Vila Nova de Cerveira",568.9,298,252.6,274.4,252.5,276.9,210.2,199.8,202.7,475.1,314.4,134.8,123.4,177.3,204.5,184.8,186.8,57.3,56.1,95.4,48.3,30.4,78.6,92.5,43.7,42.4,109.7,98.1,29.7,68.5,37.4
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",4198.8,3755.2,3175.8,3433.2,3158.5,3415.5,2408,2295.9,2328.2,1528.8,988.1,1192.9,875.6,546.5,620.3,1507.7,679.1,441.8,435.3,343.1,320.5,199,193.2,242.7,291.3,286.6,255,724.7,196.4,473.7,257.6
303,"1120303","Braga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.8,555.7,170.5,113.1,329.7,271.4,157.2,161.7,432,392.5,114.8,272.8,140.6
306,"1120306","Esposende",2937.8,2615.3,2217.7,2405.6,2213.3,2423.1,1761.9,1673.9,1691,3603.6,2352.6,966.2,716.3,1343.3,1539.6,1314.8,1206.7,363.5,357,481.9,228.9,152.3,441.7,543.1,213.4,211,549.4,518.6,154.5,362.4,188.5
310,"1120310","Terras de Bouro",251.7,223.9,189.5,205.4,189.1,207.4,170.6,162.3,164.3,180.5,230.4,138.2,101.3,121.6,118.8,199,137.8,41.3,40,13.1,10.8,4.1,2.5,5.1,9.2,9.1,15.2,27.6,8.4,22.5,13.8
313,"1120313","Vila Verde",1412.9,1257,1066,1155,1049.8,1150.4,832.5,792.4,861.3,2412.1,1543.9,600.8,442.8,842.2,945.2,764.2,1008.2,279.6,272.1,728.5,341.2,226.6,670.6,587.9,310.3,310.6,823.8,757.2,216.6,524.4,271.9
307,"1130307","Fafe",1460.4,1300.7,1101.5,1197.1,1101,1204,1061.4,1008.3,1020.5,3897.4,2583.3,1006.5,740.3,1408,1626.3,1470.5,1319.9,374.9,363.9,549.8,252.3,152.4,428.7,553.8,230.2,230.2,618.1,592.7,174.2,431.7,231.8
308,"1130308","Guimarães",4455.5,3930.6,3335.5,3617.6,3172.2,3442.2,2460.3,2343.6,2385.8,3186.2,3177.6,1388,1002.4,1672.3,1711.5,1616.1,1385.1,469.7,474.8,432.5,264.1,158.1,282.3,610.2,245,209.7,559.3,597.3,159.9,389.9,234.9
309,"1130309","Póvoa de Lanhoso",713.4,633.2,536.8,583.1,527.9,577.7,423.1,409.7,415,307.5,281.2,238.3,176.2,123,129.4,347.8,187,82.4,77.5,53.2,49.8,31.6,30.9,37.6,45.6,45.4,40.5,112.2,31.8,65.1,41.8
1314,"1131314","Santo Tirso",3079.3,2706.8,2310.7,2492.2,2300,2514.7,1696.8,1623.3,1654.7,1416.5,959.2,773,571.4,669.6,724.1,234.7,428,389.9,418.3,592.8,413.4,250.7,388,805.8,524.3,498.4,832.6,773,367,541,461.4
1318,"1131318","Trofa",0,0,0,0,0,0,151.3,144.3,146.1,561,366,439.4,327.8,211.3,242.9,213.4,204.8,179.1,178.4,135.9,128.8,79.8,75.1,94.9,114.8,113.9,99.3,92.2,76.9,62.5,102.5
311,"1130311","Vieira do Minho",1056.2,942.7,797.2,863.9,794.7,861.9,684.4,651,659.5,654.2,432.5,509.9,378.1,242.5,265.7,231.5,213.7,177.6,170.5,130.8,123.6,82.5,82,98.1,114.7,114.2,101.6,92.8,79.7,64.4,99.8
312,"1130312","Vila Nova de Famalicão",2107.8,1881.7,1592.6,1724.8,1586.2,1742.4,1233.9,1171.7,1186.8,773.2,505,598.9,441.5,278.6,320.9,271,239.2,210.9,207.5,126.5,109.7,61.2,51.3,85.1,109.4,89.4,74.4,71.8,62.4,50.6,82.5
314,"1130314","Vizela",0,0,0,0,0,0,72.5,69.1,69.7,265.2,176.2,209,156.6,102.3,117.2,106.2,73,61.4,59.9,5,4.5,2.8,2.5,3.4,4,4.1,3.5,3.5,3,2.6,4
107,"1140107","Espinho",90,80.2,67.9,73.6,66.9,72.4,46.5,44.3,44.8,15.2,9.5,11.7,8.4,5.3,5.9,3.1,9.1,9,9.2,16.9,10.8,5.6,0,9.7,9.9,15.2,13.6,11.8,0,0,12.7
1304,"1141304","Gondomar",1210.8,1080.9,914.4,990.6,911.2,999.4,764.2,726.9,736.7,652,426.7,514,383.3,250,284.4,239.2,366,321.3,317,474.2,417.8,278.9,260.5,358.4,407.9,382,361.5,339.8,290.1,236.8,357.7
1306,"1141306","Maia",1295.6,1153.3,977.8,1055.5,972,1067.8,815,778.9,789.6,714.8,436.9,581.1,438.4,286.9,320.8,203.8,335.2,330.1,334.4,443.1,433.3,261.3,249.2,338.7,385.4,339.4,308.7,303.8,212.9,222.2,300.4
1308,"1141308","Matosinhos",769.2,688.1,580.9,629.3,578.8,635,483.3,459.8,465.3,405.2,260.9,324.4,239.4,156.3,177,140.3,171.4,154.8,153.9,167.2,140.8,104.1,98.3,127.6,146.3,145.6,120.2,117.9,101.6,83.7,126.1
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2,1.9,5.3,4.9,3.5,3.4,4,4.6,4.8,4.1,3.8,3.2,2.7,3.9
1313,"1141313","Póvoa de Varzim",1280.6,1142.7,965.6,1046.8,949.3,1041.1,711.6,680,688.6,400.1,256.3,303.4,219.8,135.8,160.1,137.5,149.8,131.7,127.7,127.4,119.1,77.6,77.9,95.6,111.4,110.8,95.1,89.4,75.6,61.6,96.7
1315,"1141315","Valongo",805.4,702,593.4,631.9,587.8,639.6,423.1,417.4,436.6,333.4,152,270.2,203,119.2,127.3,0,0,71.1,102.9,142.6,46.7,0,0,99.6,138.3,193,76.2,106.9,0,0,30
1316,"1141316","Vila do Conde",3458,3093.7,2612.6,2829.6,2602.2,2858.4,2138.2,2034.1,2064.4,1702.7,1117.9,1344.2,1008.3,658.2,744.5,635.5,584.6,506.3,485.4,360.3,337.6,230.6,229.7,277.1,319.2,313,278.7,257,216.7,177.1,269.8
1317,"1141317","Vila Nova de Gaia",1193.7,1050.2,894.8,958.9,896.7,987.3,648.9,623.9,620.7,368.8,195.6,297.6,213.2,139.1,142.9,0,19.8,98,120.3,99.7,52.9,8.7,0,86.1,96.1,125.4,109.9,100.5,86,70.3,106.7
1301,"1151301","Amarante",3370.4,3016.4,2550.9,2760.7,2537.5,2783.7,1959.4,1863.9,1890.6,1203.8,783.8,928,692.1,448.1,515.5,458.8,373.9,319.4,310.9,146.5,137.6,90.4,90.1,108.8,127.1,126.3,110.5,101.8,88.3,69.3,110.4
1302,"1151302","Baião",2285.1,2039.5,1728.6,1873.2,1726.1,1888.5,1532.6,1455.8,1471.8,1530.2,1016.3,1208.4,905.9,592.7,679.7,615,437.6,367.7,357.8,59.3,55.4,35.1,34.2,42,50.9,50.7,45.3,42.5,36.9,29.9,48.1
304,"1150304","Cabeceiras de Basto",2301.9,1306,1105.6,1201.7,1105.5,1209.1,1084.5,1420.2,1436.3,1373.3,909.8,687.2,802.4,520.5,598.6,542.3,447,240.2,234.1,197.2,117.9,106.6,113.5,137.5,103.9,103.8,146.9,136.9,76.3,95.3,97.3
106,"1150106","Castelo de Paiva",992.7,789.8,669.5,725.4,667,730.1,568.7,604.8,612.8,566.3,376.6,398.2,333.5,217.3,249.6,225.7,166.4,124.9,121.7,37,30.7,18.9,20.6,25.6,27.9,27.7,27.8,26.3,20.5,18.8,27
305,"1150305","Celorico de Basto",2833.3,1566,1327.3,1440.2,1327.9,1454.2,1306.8,1528.4,1534,3028.1,2003.9,1298.3,1759.1,1155.5,1331,1206.2,892.4,410.4,399.8,151.7,100.8,63.7,112.3,138.5,91.2,90.9,131.3,138.4,65.2,95.8,84.5
1804,"1151804","Cinfães",3041.9,2299.4,1949.7,2112.5,1942.1,2128.9,1663.3,1727.6,1596.8,2041.9,1356.3,1175,1115.3,791.3,904.9,820.9,721.7,442.1,431,328.3,263.3,178.5,246.6,290.9,242.6,242.6,283.1,271.5,169.5,188.6,208.2
1303,"1151303","Felgueiras",2736.4,1107.4,1229.7,1018.7,1209.6,1025.5,1168.7,1686.2,1707.6,1669.6,1097.2,764.5,971.6,622.9,719.3,645.9,595.7,229.8,223.5,364.1,152.3,210.3,205.3,239.2,141.3,139.1,240.9,218.7,114.4,149.7,122.3
1305,"1151305","Lousada",1703.4,1512.3,1283.2,1389.8,1277,1394.6,1077.1,1031.5,1049.7,984.8,645.9,765.7,567.4,360.4,418.1,378.9,331.3,280.3,273.4,171.5,162.8,109.2,109,129.8,148.8,148.1,132.9,119.1,96.3,81.3,125.1
1307,"1151307","Marco de Canaveses",1763.1,1570.1,1330.2,1445.1,1328.9,1454.8,1155.9,1098.1,1110.5,1097.5,729.8,865.1,647.3,422.1,485.1,437.7,325.1,274.1,267.5,73.8,68.2,44.1,42.6,54.4,63.7,63.5,56.2,52.3,45.5,36,55.3
1705,"1151705","Mondim de Basto",390.2,306.8,259.9,282.3,259.8,284.2,258.2,278.3,281.7,377.7,250.4,253,220.7,142.8,164.8,149.3,98,70.5,68.5,0,0,0,0,0,0,0,0,0,0,0.1,1.7
1309,"1151309","Paços de Ferreira",1065.3,864.8,732.3,795,733.5,802.8,630.2,628.3,636.4,528.6,349.3,375.3,304.3,194.4,224.2,202,248.9,192,186.9,248.9,213.3,136.5,147.3,186.8,196.2,185.2,185.2,177,140,119,156.7
1310,"1151310","Paredes",3977,3057.9,2588.4,2806.9,2582.3,2825.9,2283.5,2343.4,2371.7,2100.3,1378,1449.9,1231.7,800.9,917.4,789.4,935.2,709.3,696.9,891.2,736.5,503.6,577.6,693.7,696,671,695.9,635.8,475.8,444,591.1
1311,"1151311","Penafiel",2622.3,2043.7,1727.8,1877.1,1726.2,1889.6,1524.5,1654.9,1676.6,1718.7,1140.6,1182.9,1013.8,661.6,758.1,687.3,566.6,414.9,404.6,224.6,191.7,130.1,151.9,179.1,178.2,178.4,186.7,169.2,124.2,117.1,152.5
