"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",416.9,399.5,399.5,387.5,390.8,385.4,291.6,294.4,299.6,189.6,186.3,179.6,168.9,155.1,153.5,155.9,126.2,131.9,119,80,77.9,74.2,71.8,77.8,75.1,71.7,64.7,67.1,61.1,58,52.9
1602,"1111602","Caminha",357.3,325.6,329.4,330.8,328.6,319.5,96.7,103.4,109,73.1,147.5,156.6,149.2,302.6,234.8,390.8,136.4,87.7,80,27,26,25.4,27.6,35.2,23.4,22.5,48.5,63.7,20.9,59.8,19
1603,"1111603","Melgaço",131,131.5,131.5,128.7,129.5,127.3,82.9,84.8,84.8,51.4,90.6,29.9,30.6,72.3,58.1,82,69.4,25.6,25.1,30.9,8.8,18.5,30.9,28.5,16.8,16.3,39.2,42.5,12.2,33,10
1604,"1111604","Monção",354.2,342.1,328.9,337.9,346.1,337.9,219.2,222.1,223.3,89.3,132.8,84.5,85,98.2,77.3,224.5,124.1,61.7,58.1,38.7,36.4,34.5,33.2,35.3,30.9,30.6,40.9,82.2,22.9,59.8,17.9
1605,"1111605","Paredes de Coura",716.6,642.7,642.7,648.5,659.5,649.6,309.7,334.3,357.2,612.2,622.2,285.4,289.6,523.3,505.1,502.9,363,229.8,209.2,283.4,119.1,163.3,316.6,321.8,146.7,145.1,293.1,291.5,139.1,273.7,128.2
1606,"1111606","Ponte da Barca",42,49.1,42,48,47.8,43.3,39.5,39.2,39.5,35.3,74.3,33.4,30.8,63.3,43.8,86.3,91.1,32.7,29,29.6,29.3,28.3,27.9,27.6,26.6,25.4,45.8,75,23.6,67.5,21.5
1607,"1111607","Ponte de Lima",3622,2252.3,2252.3,2260.4,2284.2,2259.7,1173.7,1264,1351,2929.3,2781.3,1316,1880.3,2450.8,2326.1,2328.7,1679.6,944.5,867.2,1218.7,638.4,627.6,1233.6,1259.3,577.1,556.5,1158.5,1160.8,569,1175.1,539.7
1608,"1111608","Valença",354.2,163.7,168.1,167.4,166.7,164.8,109.3,109.8,113.6,138.9,136.4,43.4,40,118.6,109.3,110.5,111.4,38.9,35.9,72.2,35.2,34.4,95.9,64.8,30.7,29.7,89.9,90.1,29,83.1,26.8
1609,"1111609","Viana do Castelo",1337.8,1238.8,1238.2,1251.7,1246.6,1253.6,324.2,347.6,370.9,1455.1,1577.1,732.6,686.6,1916.1,1215.8,1806.3,901.8,485,432.2,858.1,285,283.7,799.9,698.1,257,251,739.4,748.3,255.4,739,242.2
1610,"1111610","Vila Nova de Cerveira",519.1,277.9,277.9,283.6,283.1,282.4,111.5,120.3,128.6,308,280.9,121.2,144.1,296.8,284,282.9,142.5,87.7,79.7,109.7,40.5,57.6,147.7,129.4,51.7,50.3,136.9,136.6,51.5,136.6,48.9
