"Admin_id","ID","Muni","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",125,307,343,338,335,291,363,311,368,414,393,414,386,343,406,346,233,506,343,353,380,437,520
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",100,249,252,273,261,212,294,319,339,338,335,318,319,261,349,321,294,460,298,267,0,376,0
1608,"1111608","Valença",181,348,352,360,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",67,239,252,264,221,201,267,305,317,313,328,329,311,231,320,302,262,454,252,250,228,357,408
302,"1120302","Barcelos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,"1120303","Braga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",109,249,260,283,262,218,295,328,348,346,354,346,330,263,354,323,291,481,285,277,283,384,457
307,"1130307","Fafe",91,248,268,301,257,222,315,208,355,356,360,368,340,282,359,326,295,559,282,272,325,386,469
308,"1130308","Guimarães",137,285,295,305,282,232,337,361,394,379,399,357,344,287,399,364,336,550,319,309,368,435,440
309,"1130309","Póvoa de Lanhoso",63,225,238,255,221,192,271,294,318,318,330,327,314,240,321,303,249,512,252,248,260,356,417
1314,"1131314","Santo Tirso",175,318,321,341,329,279,379,380,425,429,448,345,345,335,453,399,394,611,354,353,419,484,418
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
